,6872-JK-1,6872-JK-2,6872-JK-3,6872-JK-4,6872-JK-51,6872-JK-52-REPREP,6872-JK-53,6872-JK-54,6872-JK-77,11067-JK-10,11067-JK-11,11067-JK-18,11067-JK-19,11067-JK-20,11067-JK-21,11067-JK-22,11067-JK-5,11067-JK-6,11067-JK-7,11067-JK-8,11067-JK-9,12039-JR-1,12039-JR-10,12039-JR-11,12039-JR-12,12039-JR-13,12039-JR-14,12039-JR-15,12039-JR-16,12039-JR-17,12039-JR-18,12039-JR-19,12039-JR-2,12039-JR-3,12039-JR-4,12039-JR-5,12039-JR-6,12039-JR-7,12039-JR-8,12039-JR-9,11391-JR-10,11391-JR-11,11391-JR-12,11391-JR-13,11391-JR-14,11391-JR-15,11391-JR-16,11391-JR-7,11391-JR-8,11391-JR-9
Abca13,6.173524632,5.687960281,5.93122733,6.045281439,6.166851112,6.604923537,6.306948996,6.140835053,5.914018516,6.238349987,6.024650372,6.182421871,5.790472798,6.071464286,5.936882518,6.16836066,6.203225763,6.071605736,6.157247294,6.340304672,6.110441905,7.013058234,5.983965746,5.95767883,6.045617667,6.087836122,6.151941512,6.147409526,6.00715455,6.115222332,6.126750454,6.038363138,5.865042263,6.086306211,6.228184212,6.02413143,6.051837244,5.899582682,6.001894158,6.219117804,5.998260094,6.063151586,6.254752125,6.112326918,5.964539124,5.993563962,6.240679473,6.1774609,6.204177631,6.070611405
B9d1os,5.752841196,5.916455849,5.458307767,5.831161663,5.673938598,5.842496403,5.458307767,5.834651543,6.015467996,5.533887109,5.717975094,6.014066414,5.533887109,5.996226876,5.867823238,5.982293197,5.728885029,5.533887109,5.875864943,5.533887109,5.726155149,5.743654494,5.975080998,5.741504097,5.498051655,5.909044807,6.036202032,5.7169344,5.819561634,5.70361808,5.795245572,5.922623657,5.749302783,5.498051655,5.82822485,5.788693353,5.498051655,5.783843202,5.815253514,5.498051655,5.730770674,5.844726776,5.987010804,5.820617301,5.731354255,5.742484647,5.871733142,5.534673849,5.739320015,5.534673849
Ccr8,5.551017703,5.780812521,5.551017703,5.551017703,5.551017703,5.935206338,5.993934983,5.858590298,5.551017703,5.811912145,5.550704334,5.828786716,5.550704334,5.550704334,5.550704334,5.550704334,5.939816626,5.751649617,6.033215089,5.761904008,5.550704334,5.794213206,5.87434868,5.690747643,5.753210372,5.783246042,5.668054674,5.666177946,5.76880518,5.802748234,5.447295202,5.748052582,5.447295202,5.720912621,5.447295202,5.652983376,5.827016168,5.649545271,5.835398225,5.772545331,5.815032994,5.729222227,5.796405918,6.225226256,5.672583548,5.475903142,5.475903142,5.475903142,5.884174995,5.475903142
Cd40lg,5.539944205,5.539944205,5.95008312,5.539944205,5.844609741,5.85394051,5.539944205,5.757636402,5.539944205,5.515492146,5.775655863,5.712278037,5.515492146,5.704914209,5.515492146,5.515492146,5.950206301,5.515492146,5.79493302,5.72669182,5.899181082,6.338121266,5.835572855,5.533051314,5.838966484,5.533051314,5.533051314,5.533051314,5.533051314,5.823521265,5.74338459,5.533051314,5.533051314,5.533051314,5.533051314,5.738739488,5.533051314,5.533051314,5.850253173,5.858301443,5.713542855,5.689751801,5.828566333,6.18575583,5.436432716,5.436432716,5.436432716,5.436432716,5.97519357,5.645892966
Cpvl,5.586838349,5.586838349,5.586838349,5.586838349,5.80246918,5.809085926,5.970790027,5.586838349,5.586838349,5.738094371,5.660974545,5.754968942,5.47688656,5.47688656,5.669971221,5.678064974,5.75244616,5.824374838,5.818864394,5.47688656,5.809414508,5.455311658,5.455311658,5.875992184,5.761226828,5.86630481,5.455311658,5.674194403,5.776821637,5.455311658,5.752505575,5.756069039,5.455311658,5.728929077,5.689033534,5.810974508,5.893357767,5.657561728,5.679832659,5.685541216,5.701980637,5.505883812,5.505883812,5.791827264,5.846019821,5.505883812,5.842943105,5.859877892,5.505883812,5.715344062
Hbq1a,5.502102773,5.502102773,5.502102773,5.502102773,5.502102773,5.945292873,5.886054451,5.719794971,5.82510709,5.701383006,5.83497463,5.516555233,5.516555233,5.516555233,5.516555233,5.516555233,5.853790383,5.917479389,5.714303958,5.727754907,5.516555233,5.703166829,5.760085532,5.45756399,5.67408091,5.45756399,5.995714367,5.766815494,5.685140588,5.45756399,5.667897266,5.670423758,5.812440581,5.45756399,5.45756399,5.663252165,5.767901883,5.65981406,5.45756399,5.855493937,5.744795209,5.548698384,5.548698384,5.548698384,5.548698384,5.756509182,5.548698384,5.902692464,5.548698384,5.844660898
Hydin,5.944770795,5.9629159,5.831780079,5.884566257,5.663383748,5.853738535,5.672520475,5.889461069,5.681722529,5.885018532,5.623810721,5.820596611,5.824836489,5.951430654,5.623810721,5.908090395,6.012923013,5.623810721,5.903251594,6.045089013,5.623810721,5.620857204,5.897344017,5.795934891,5.681169535,5.375254365,6.297013283,5.811772801,5.76861778,5.916414023,5.888213684,5.894321022,5.986878863,6.040571118,5.608976241,5.78559466,5.754975332,6.097508579,5.763357388,5.605483923,5.863233907,5.667137082,5.667137082,5.869494828,5.945070631,5.87494788,5.667137082,5.667137082,6.021004147,5.963099597
Lars2,11.63516341,11.20776336,10.81526935,14.64744702,9.917516768,8.511652493,8.759481921,9.298892363,11.33201975,10.51548554,10.5719946,10.49056043,11.56481628,10.50927609,10.69162226,10.4216698,10.82049709,10.33771933,10.53589984,10.55849953,11.14890111,10.70856438,10.68829837,10.33513644,10.78187015,10.5990244,10.61127482,10.66093987,10.90842862,10.91178322,11.11370546,10.99645993,10.54867241,10.51758475,10.59015366,10.59865766,10.62018356,10.67387536,10.52354059,10.54283771,10.6459564,11.18077727,10.77227531,10.45158206,11.1846508,10.50755653,10.48820032,10.68653264,10.38833293,10.49992065
Nppa,5.616198273,5.551459662,5.321664843,5.321664843,6.172602657,6.408144574,5.635467107,5.852407701,5.321664843,5.839272257,5.578064447,5.578064447,5.578064447,5.76748651,5.578064447,5.578064447,5.915299597,5.578064447,5.578064447,5.789264121,5.910592394,5.908019634,5.56110163,5.981782156,5.77761855,5.89705247,5.781861102,5.56110163,5.882611608,5.916554662,5.56110163,5.773961397,5.56110163,5.56110163,5.56110163,5.56110163,5.56110163,5.56110163,5.56110163,5.56110163,5.760186285,5.817408546,5.56408946,5.56408946,5.760769866,5.56408946,5.758985388,5.972507616,5.56408946,5.56408946
Olfr177,5.557610045,5.882247296,5.557610045,5.557610045,5.557610045,5.779857622,5.779720008,5.775302242,5.557610045,5.714956901,5.714217112,5.530129127,5.530129127,5.719551191,5.723213788,5.530129127,5.530129127,5.731074411,5.530129127,5.951407419,5.801836731,5.994665746,5.570286964,5.570286964,5.570286964,5.570286964,5.570286964,5.570286964,5.797863561,5.775853388,5.78062024,5.570286964,5.570286964,5.570286964,5.804008839,5.570286964,5.880624857,5.570286964,5.570286964,5.800516522,5.758189403,5.839306479,5.819231199,5.366894244,5.366894244,5.829984489,5.801382384,5.571614109,5.656066018,5.662856758
