,6872-JK-1,6872-JK-2,6872-JK-3,6872-JK-4,6872-JK-51,6872-JK-52-REPREP,6872-JK-53,6872-JK-54,6872-JK-77,11067-JK-10,11067-JK-11,11067-JK-18,11067-JK-19,11067-JK-20,11067-JK-21,11067-JK-22,11067-JK-5,11067-JK-6,11067-JK-7,11067-JK-8,11067-JK-9,12039-JR-1,12039-JR-10,12039-JR-11,12039-JR-12,12039-JR-13,12039-JR-14,12039-JR-15,12039-JR-16,12039-JR-17,12039-JR-18,12039-JR-19,12039-JR-2,12039-JR-3,12039-JR-4,12039-JR-5,12039-JR-6,12039-JR-7,12039-JR-8,12039-JR-9,11391-JR-1,11391-JR-10,11391-JR-11,11391-JR-12,11391-JR-13,11391-JR-14,11391-JR-15,11391-JR-16,11391-JR-2,11391-JR-3,11391-JR-4,11391-JR-5,11391-JR-6,11391-JR-7,11391-JR-8,11391-JR-9
Abca13,5.987101306,5.45733185,5.722639015,5.848145322,5.980872865,6.45758418,6.133331081,5.952769846,5.703937518,6.057140361,5.825451007,5.997978384,5.569005625,5.876472348,5.729390513,5.982003468,6.01943726,5.875844775,5.969697579,6.169690757,5.919505235,6.898612048,5.780211802,5.752498663,5.84800673,5.895001346,5.964032948,5.959361588,5.805903542,5.924798616,5.936901683,5.840687991,5.650153374,5.892387193,6.047932428,5.825165111,5.854929799,5.688537296,5.800884854,6.037387063,5.822655439,5.80272119,5.87425264,6.082430357,5.927354335,5.766630931,5.797766525,6.067871159,5.77320146,5.936763463,5.903413256,6.128913547,5.861009751,5.99879203,6.028994433,5.882719233
B9d1os,5.521653304,5.702372148,5.198973829,5.607949895,5.435573378,5.620591872,5.198973829,5.611916171,5.808943112,5.281926138,5.483950228,5.808541574,5.281926138,5.788795443,5.648291224,5.773328084,5.495589649,5.281926138,5.656725396,5.281926138,5.4930039,5.512044786,5.764586932,5.50999265,5.242792357,5.693594381,5.831668734,5.482649577,5.594928821,5.468312639,5.568476721,5.708323776,5.517789159,5.242792357,5.604723681,5.561638703,5.242792357,5.556173082,5.590816173,5.242792357,5.608023371,5.527030735,5.652191078,5.807573453,5.625505983,5.527957012,5.539931234,5.68177036,5.547940371,5.312123021,5.312123021,5.541412619,5.523210073,5.312123021,5.53686836,5.312123021
Ccr8,5.302260678,5.554915657,5.302260678,5.302260678,5.302260678,5.723878721,5.787842481,5.639808387,5.302260678,5.588132018,5.302161327,5.607324437,5.302161327,5.302161327,5.302161327,5.302161327,5.728327851,5.522332023,5.830737977,5.533842581,5.302161327,5.569034064,5.656013106,5.456002493,5.523902527,5.557376629,5.430599274,5.428659421,5.540938664,5.578625639,5.188802201,5.518693449,5.188802201,5.488488212,5.188802201,5.414489548,5.604772875,5.410613214,5.614530483,5.54498981,5.7092343,5.614138826,5.520469077,5.593783855,6.062285577,5.45842513,5.242591139,5.242591139,5.478408489,5.46732407,5.447871066,5.242591139,5.242591139,5.242591139,5.690732578,5.242591139
Cd40lg,5.277528293,5.277528293,5.72669342,5.277528293,5.611757743,5.622184161,5.277528293,5.516482123,5.277528293,5.250722899,5.536195641,5.466706547,5.250722899,5.458537626,5.250722899,5.250722899,5.726763257,5.250722899,5.557030865,5.482404153,5.671759296,6.150737757,5.601251174,5.270164651,5.605264978,5.270164651,5.270164651,5.270164651,5.270164651,5.588775446,5.500702232,5.270164651,5.270164651,5.270164651,5.270164651,5.495851999,5.270164651,5.270164651,5.618188467,5.626352261,5.44681568,5.541045221,5.51527744,5.666994848,6.05709394,5.237399502,5.237399502,5.237399502,5.237399502,5.237399502,5.237399502,5.237399502,5.448486554,5.237399502,5.828478479,5.467294334
Cpvl,5.353172893,5.353172893,5.353172893,5.353172893,5.589772442,5.597170441,5.774191304,5.353172893,5.353172893,5.518663093,5.434716493,5.537855513,5.232692403,5.232692403,5.444591677,5.453302917,5.534583368,5.613304653,5.607491661,5.232692403,5.597642145,5.209079919,5.209079919,5.670576006,5.544180245,5.659881943,5.209079919,5.448937139,5.561216383,5.209079919,5.534764282,5.538971168,5.209079919,5.50876593,5.465338652,5.599190978,5.688853146,5.430890932,5.455467507,5.46126158,5.70751329,5.455777844,5.24087013,5.24087013,5.554253092,5.614013342,5.24087013,5.610517469,5.24087013,5.24087013,5.446150056,5.564795132,5.755651765,5.628980575,5.24087013,5.470764962
Hbq1a,5.259030556,5.259030556,5.259030556,5.259030556,5.259030556,5.74530234,5.680048966,5.497984386,5.61293734,5.477367839,5.624338596,5.274990786,5.274990786,5.274990786,5.274990786,5.274990786,5.644395195,5.714063129,5.491786234,5.50667204,5.274990786,5.479695002,5.541529095,5.210442573,5.447659988,5.210442573,5.799318949,5.549263513,5.459748899,5.210442573,5.440980154,5.443964433,5.598762525,5.210442573,5.210442573,5.43612992,5.550471335,5.432253586,5.210442573,5.646132764,5.500767609,5.506259145,5.291351431,5.291351431,5.291351431,5.291351431,5.519159644,5.291351431,5.291351431,5.679819333,5.291351431,5.687663503,5.291351431,5.679461876,5.291351431,5.616129677
Hydin,5.761768161,5.783813931,5.638320964,5.696834098,5.45458827,5.663393037,5.464523366,5.702387955,5.474265605,5.696960235,5.410989544,5.626973192,5.631645923,5.770316988,5.410989544,5.722677455,5.837156069,5.410989544,5.717297511,5.872874969,5.410989544,5.408381374,5.710112977,5.600625032,5.474229271,5.139128945,6.145650496,5.617205645,5.569875915,5.732221921,5.700874056,5.708069112,5.807751061,5.866789668,5.395387678,5.589137484,5.55509962,5.929737733,5.564857227,5.391310606,5.727424935,5.580245749,5.365338035,5.365338035,5.587150635,5.670290086,5.593146248,5.365338035,5.835415743,5.682838709,5.655403837,5.761650107,6.027618924,5.365338035,5.753827298,5.690116281
Lars2,11.64548757,11.227494,10.8244124,14.66306071,9.92865211,8.517060602,8.764477468,9.308734295,11.34251863,10.51935479,10.5828294,10.50014912,11.59024879,10.51812649,10.70471067,10.42759901,10.83162189,10.33972085,10.5434553,10.56811079,11.16993659,10.72034712,10.69555883,10.34318569,10.79297727,10.61153411,10.61894701,10.67069679,10.9211104,10.92828832,11.13038569,11.01415471,10.55353984,10.52386309,10.60024822,10.61069943,10.62941269,10.68592025,10.53473655,10.54951152,11.01004397,10.61621403,11.15923909,10.74424465,10.41993957,11.16395908,10.47689515,10.45917068,10.89287939,11.06505523,10.50016297,10.66744298,10.39323977,10.65933031,10.36089884,10.47243591
Nppa,5.386117876,5.316093379,5.063438401,5.063438401,5.994647904,6.251062164,5.407602947,5.645467536,5.063438401,5.630019734,5.344049043,5.344049043,5.344049043,5.551863771,5.344049043,5.344049043,5.713453453,5.344049043,5.344049043,5.575730297,5.708998786,5.705680082,5.325448219,5.786944307,5.562665634,5.694022648,5.567245292,5.325448219,5.677584683,5.715271657,5.325448219,5.558970079,5.325448219,5.325448219,5.325448219,5.325448219,5.325448219,5.325448219,5.325448219,5.325448219,5.302879681,5.517787396,5.58075762,5.302879681,5.302879681,5.518713672,5.302879681,5.516684213,5.71042572,5.302879681,5.508159608,5.626804684,5.601136777,5.750584998,5.302879681,5.302879681
Olfr177,5.30855201,5.665406458,5.30855201,5.30855201,5.30855201,5.552549558,5.552200908,5.547505841,5.30855201,5.480944984,5.48059202,5.27856793,5.27856793,5.486382658,5.490467205,5.27856793,5.27856793,5.498738626,5.27856793,5.740453355,5.576811924,5.787700752,5.322680411,5.322680411,5.322680411,5.322680411,5.322680411,5.322680411,5.571986738,5.548200693,5.553217992,5.322680411,5.322680411,5.322680411,5.578939144,5.322680411,5.662709174,5.322680411,5.322680411,5.574862072,5.335431171,5.554649662,5.643895955,5.621465425,5.126014993,5.126014993,5.633321313,5.60236729,5.361832343,5.350747924,5.416080795,5.355304591,5.490980739,5.350540305,5.44353316,5.450793239
Rab3c,5.551215319,5.658065986,5.443776003,5.638079326,5.466237557,5.416228919,5.238259774,5.332158585,5.851046203,5.424081862,5.424081862,5.424081862,5.735834447,5.631896589,5.635981136,5.424081862,5.424081862,5.424081862,5.730389828,5.424081862,5.424081862,5.640142427,5.370889998,5.370889998,5.608107413,5.370889998,5.612687071,5.370889998,5.620196324,5.760713436,5.601427579,5.604411858,5.370889998,5.670576009,5.627148731,5.370889998,5.370889998,5.370889998,5.617277586,5.370889998,5.54213296,5.549878328,5.586300667,5.597425325,5.468045209,5.4620666,5.246232609,5.548322464,5.482049959,5.470965541,5.655762529,5.246232609,5.544489705,5.634343055,5.563750777,5.571010856
