,B-Naive_H-1,B-Naive_H-10,B-Naive_H-11,B-Naive_H-13,B-Naive_H-16,B-Naive_H-18,B-Naive_H-23,B-Naive_H-25,B-Naive_H-26,B-Naive_H-27,B-Naive_H-33,B-Naive_H-36,B-Naive_H-37,B-Naive_H-4,B-Naive_H-40,B-Naive_H-43,B-Naive_H-45,B-Naive_H-49,B-Naive_H-55,B-Naive_H-56,B-Naive_H-57,B-Naive_H-59,B-Naive_H-61,B-Naive_H-62,B-Naive_H-63,B-Naive_H-64,B-Naive_H-65,B-Naive_H-66,B-Naive_H-68,B-Naive_H-69,B-Naive_H-7,B-Naive_T1D-1,B-Naive_T1D-102,B-Naive_T1D-104,B-Naive_T1D-106,B-Naive_T1D-118,B-Naive_T1D-12,B-Naive_T1D-121,B-Naive_T1D-124,B-Naive_T1D-127,B-Naive_T1D-129,B-Naive_T1D-132,B-Naive_T1D-135,B-Naive_T1D-137,B-Naive_T1D-139,B-Naive_T1D-14,B-Naive_T1D-140,B-Naive_T1D-141,B-Naive_T1D-142,B-Naive_T1D-15,B-Naive_T1D-153,B-Naive_T1D-156,B-Naive_T1D-158,B-Naive_T1D-170,B-Naive_T1D-174,B-Naive_T1D-2,B-Naive_T1D-21,B-Naive_T1D-25,B-Naive_T1D-28,B-Naive_T1D-29,B-Naive_T1D-37,B-Naive_T1D-39,B-Naive_T1D-42,B-Naive_T1D-44,B-Naive_T1D-52,B-Naive_T1D-61,B-Naive_T1D-73,B-Naive_T1D-79,B-Naive_T1D-8,B-Naive_T1D-82,B-Naive_T1D-86,B-Naive_T1D-87,B-Naive_T1D-88,B-Naive_T1D-93,B-Naive_T1D-96,B-Naive_T1D-97,B-Naive_T1D-98
CD74,9.4473286322291,9.59788914588797,9.2545758630331,9.4927919847229,9.23318603356883,10.3910468403805,9.11857308131844,9.87664858862,10.5566835619154,9.67947209582947,9.57473920767713,10.0514046133966,10.468283986911,10.2655603588846,10.1856828821935,9.61670580968474,9.00110007783786,9.62610307240602,11.4635463457357,10.2605565166633,7.75850964724132,9.84518239569966,7.63610994776989,6.75251960875396,6.97019461449945,7.0541806539,8.39739155345046,6.83578482089451,7.26754118215034,7.5486146523395,10.0138244806576,11.5752842195235,11.3772189880609,12.1641832612134,11.7971788719837,11.4596045031996,10.6495286427129,11.0125142860706,11.1997150218641,11.622396274722,10.5755470514377,11.6459041418508,10.6468940636212,10.9701956546086,10.8216744917993,9.23872192995427,10.6690992528752,11.7354616179459,10.6515677650173,9.66646334114018,12.1710244933681,11.4489271965448,11.4048697041363,11.1645612647805,12.1442146237416,10.9402782075768,11.1305897054801,10.8330208824906,10.5656067214794,10.0331087160891,10.2113707440079,9.94893573016104,10.3949890421597,9.65881745854772,10.5946077235721,10.3820059860208,9.4220432421017,9.6118622365814,9.65166359390448,11.0078119785295,11.1417024965819,11.5757642789336,10.6214148130167,11.6677359187904,11.9767434985545,11.3229523381317,11.7041212841372
IGHD,5.69922830227998,5.77108906806188,5.71056543303062,6.39516727248133,5.46467526884622,6.59689907644673,7.03947711812629,5.94263422999511,6.65724819863575,5.63307654864488,7.11782490189679,6.78741583982444,6.42649763327436,6.75226081231112,6.10004549613256,5.53443235482924,6.74600431859765,6.79550010092583,8.14011883545784,6.84664902023603,5.42663338202083,6.01717351454095,6.56139201478889,5.62020562043157,6.00132045338636,5.38081826153938,6.60163223946252,4.67048208604261,5.03523933632507,4.57832915658093,6.74506871652883,8.47692551245351,8.00608839019004,8.52732802569665,8.76655386718353,8.21407987493302,7.52037398645442,7.60477997089346,7.80510028208653,8.52103452949849,6.38379692264235,8.32347803634888,7.57037466204,7.4297085449982,7.69419189984706,5.96265591802899,7.17788204821239,8.4982228972282,7.67022869618612,7.10448855906291,8.97426152363125,8.26686390405194,8.51151151886396,8.63394770486767,8.87160776782609,7.22503544682726,7.51795223317646,7.30991087380472,6.58218194571783,6.62580204883314,7.78229750111358,6.1879850619734,6.95212174850235,7.14990570665616,7.32725067079975,6.28549388046341,6.58150810946535,6.53116040573096,6.08818103143883,8.01778298421164,8.02417934222,8.33856357738549,6.01538695495495,8.25515192157837,8.82490787909007,7.91129323846981,8.19027345925258
GNG7,2.89766835929106,3.58461973034243,3.44169783497039,3.5225516000171,3.5294797755943,4.20310138916779,4.19731308767127,3.88566054914865,4.62246334871805,4.01846865407282,2.81478135433316,3.63994963184761,3.52349133285556,3.64135088125201,4.28550098894399,3.73793968090462,3.18147498565177,3.47237320508273,5.65069641947473,4.1813360809441,2.55567664892977,3.57337758867953,1.62765670587281,1.62765670587281,2.46654943513294,2.69956458653646,3.21572386144263,1.62765670587281,1.62765670587281,1.62765670587281,3.14540392660709,5.87324598596236,5.78058109639211,5.86305245016173,5.91345914891819,5.04088764150016,4.7216751384162,4.60546572688937,5.18770104939104,5.5603722164272,4.73863512754874,5.18674914458088,4.56434905962697,5.10834069115092,4.98776693609937,3.49347488926342,4.8818445060116,5.71898518471836,4.79635244613256,2.92771415861357,5.72773642048115,5.7430786280819,5.69658884084725,5.46615996613569,5.95614453969385,4.80289811739585,5.45409397768787,4.74932026308996,4.78191458412483,3.72349760063351,3.50698730914154,4.72610491264317,4.43366350940703,3.19690747893871,4.84460746579559,4.26391405258147,2.90845399423446,3.79213415132827,3.83055403973603,4.48188811389165,4.41931190378659,5.84186870838918,3.39192175549932,5.66142914593537,5.8386405258942,5.31131793213038,6.20743821416597
HLA-DPA1,6.82445966867444,7.5544577954648,7.37181847224407,6.92996399847871,7.19487497873699,7.48425323363657,6.20369939348272,7.11527505592265,7.55977898632781,7.73958056091595,5.81935925420292,7.66950938582971,7.25351389887488,7.81442818836305,7.53025917967192,7.48734624907203,5.22814885244757,6.78292609552186,8.67199174072651,7.24264118122613,5.23597081630373,7.23477101301022,4.90501914176382,5.01628035204067,5.4453111610428,4.86129995116757,5.68682921552569,6.22620337649112,4.25793406307466,5.54602904017417,7.44917080071197,8.33681287383957,8.4003749351223,9.24514689405893,8.57460262167317,9.00338355163076,8.40659152870982,8.43190746226123,8.66492349113346,8.53524576838618,7.96525369583808,8.91752622596855,8.40635359123774,8.4135515889199,8.3939119477361,7.21375796988675,7.94558350274766,8.72325756386436,8.56725993188464,6.62457988637725,9.02826037265125,8.97374177457821,8.77049967211562,8.26961572798631,9.5268318225747,7.99388209861384,7.85902545409954,8.27018449464198,8.05129309841358,7.76056965875809,6.96020387624906,7.43687352221745,7.13529875663689,6.48499379704681,8.02326576878956,7.61578271803367,6.7824316979466,7.17082021227708,7.27883769929975,7.77297195159357,7.77577009426442,8.79284711396252,8.1335588762914,8.91350704204378,9.13934403680144,8.71510275419347,9.01579943364197
HLA-DRA,9.5589812311989,9.11384110082277,9.83468489418272,9.16910947039048,9.44886039642866,9.83050725693274,8.74956757261226,9.64078970890732,10.1471302750359,9.58514744144358,8.5260944159459,9.6966845744487,9.84057075375155,9.73291849585256,9.80170166016129,9.69420802527635,8.42106233126812,9.25970310768204,10.4415476750741,9.62492505929697,7.97128597169415,9.62269370771109,7.85217678007449,7.2521291139439,8.24701665275857,7.6494879342253,8.16753933140022,7.06503028400673,6.99056028379133,7.1490698581566,9.78784904320328,10.3494773693073,10.5373205375901,11.1400546837799,10.7080661633679,10.6128467440405,10.1984172225209,10.153302310564,10.3430157274148,10.312418512712,10.0118040009156,10.4901962160518,9.87363569908992,10.028623710029,10.0523964976698,9.51498277666931,10.144741515433,10.6473283962541,9.59701403920775,9.29336291357846,10.9616494454712,10.5210646735934,10.4006677683721,10.3134353036492,11.0958832208315,10.2399413004553,10.0203875408907,9.82118321701989,9.86924834007096,9.85243838809949,9.41040793686474,9.74419819783382,9.59328239334481,9.17418508357952,9.93818548025804,9.95763584497975,9.32011008754789,9.68207811830226,9.74092852562332,9.96475296509587,10.0517381414162,10.890437048852,9.7711239960558,10.5692893823264,11.0220586641723,10.6182978682015,10.8938757552584
SNHG6,7.69938003749715,7.63347623954328,7.63680376224283,7.86676667855408,7.65279651319941,7.41402555459083,7.93276025260947,7.92761627788475,7.59414693276525,7.78658689121944,7.98365043613128,7.54426238089285,7.57030087999523,7.63121009862633,7.50466508961951,7.7140585246778,8.10003691692541,7.7032610547172,7.32032454135084,7.75608140347546,8.48444021008789,8.02600275073728,8.26017041163717,8.66574000468955,8.37861823385787,8.60107140323133,8.71406482066094,8.45207826339592,8.4752573250199,8.72340009165941,7.98028439361942,7.19615933756537,7.1117980293567,7.55678187647368,7.34394576053062,7.63712222351035,7.40001242727438,7.11862209958386,7.78026713680455,7.50684464844251,7.28802997016641,7.39056214578917,7.41918525715027,7.53883900661212,7.30275217481832,7.94437347964793,7.43938252321365,7.29380948838024,6.16790990833438,7.62950226584752,7.26501573243191,7.34706519033705,7.21810593762752,7.5053416018971,7.08411825697285,7.86318053566983,7.12190088908662,7.45561672574865,7.12102715259366,7.28098381514388,7.51311409160989,7.64258051116119,7.67621006189196,7.72599084413285,7.23159815206697,7.40680965860906,8.08382589819767,7.83121348570975,7.39966596983662,7.62163064360411,7.63991751928717,7.19800900677348,7.39855371444246,7.33554255533237,7.43104906947887,7.15946087927075,7.31152496928899
CD52,6.36919733506382,6.90099686665136,6.7562537659133,6.61798398868135,6.31025565962294,7.00802953759328,6.97624598182755,6.87109112407218,7.38571616741348,7.51606980984715,6.77108521680325,6.92782386786824,6.81858065033424,7.5134206634148,6.96247698714949,6.98003680924656,6.59705928613836,6.9720194618908,9.93607126930608,7.15337067903567,6.25153940404633,6.71301983717413,5.96021617536209,5.66066520143682,6.16181463571735,6.30882291684477,6.85489393327665,5.14572330309919,6.82915449335921,6.89825484816285,7.10082073094203,9.59904942971311,9.28617221271482,9.72313661514631,9.52687943831426,9.16202865735174,8.54467964928774,8.02227607796976,8.6951254966739,9.91790102969321,7.88531907303378,9.81613369576719,8.38666480402554,8.73729532943253,8.63390252839202,6.65778126047979,7.68966688847747,10.0570551704786,8.38979148741591,7.21290492295799,9.74126994122124,9.60289665267029,9.68061868009561,9.51204478928395,9.58322886835222,7.5727048352175,8.39245423765662,8.42326529122947,7.80358994495085,7.59949090058202,6.58609502380317,6.82355745294582,6.91040173051684,6.88391235972956,7.85519036027948,6.68133184821576,6.50088596305901,6.88620431065923,6.58745423956645,7.11017196249342,7.28984414983267,9.61103301326753,7.35825861141624,9.58075970040954,9.96931278677241,9.17599453572406,9.40934073098612
CD37,7.46922975488712,7.28447826428732,7.14474404107622,7.25421234791428,7.76662251574798,7.79173368209374,6.91011232067064,8.06681121960118,8.00507914166727,8.21089028462131,6.99798626497535,8.08373770172178,7.64071460065363,8.18738109025605,7.94133411548219,7.76720604824079,6.6165419851867,6.90398438259817,8.63443756787933,8.28338067835491,6.37185688692738,7.5540049166034,6.76709207110707,6.55265281866651,6.85430862914387,5.93978404195197,7.21794410127355,6.5630230789668,8.03185298167126,6.29454950259877,7.67764100217575,8.63628293952231,8.4003749351223,8.8511296021207,8.69524793897793,8.69487815625642,8.6370179328454,8.7480816767367,8.67842472976239,8.52578718246618,8.230829928221,8.17909600409304,8.55095230654764,8.80196135140222,8.52706920129686,7.40263753362819,8.35617989123226,8.85587700283078,8.38979148741591,7.55937303072485,8.83273644986206,8.74877634255099,8.76069030371009,8.76654807367792,8.94069150008233,8.1953928266565,8.46408881133125,8.63994259305515,8.53778746582147,8.05249902456079,7.29303868682987,7.43687352221745,7.24424282229252,7.10834290151101,8.38605555087723,8.08964181665346,7.48387549419001,7.49456502277832,6.86449667398784,8.07993144637251,8.07055270107568,8.59420325310503,7.92872113954073,8.66139975189014,9.0064760980504,8.4982417132677,8.58187539781508
KIAA0125,3.373743166829,3.06038934674825,3.8884120919388,3.25852498205726,3.01757708494412,3.72854897977131,3.45229765235389,3.01449467150257,3.87007789894931,4.12324182029474,3.01783405333121,4.19798057258842,3.52349133285556,3.80455183693402,4.01347473998967,3.94558182814061,1.62765670587281,3.60119901755426,5.02986368054736,2.82933462794846,1.62765670587281,2.72190340427482,1.62765670587281,1.62765670587281,2.79842363742293,3.41144136161957,2.77747368161492,1.62765670587281,1.62765670587281,1.62765670587281,3.79969710344696,5.33940157959539,5.37325168465821,4.54438005530653,4.9793453928311,5.10139349802994,4.51114318808836,4.60546572688937,5.22523817127891,5.403170513412,4.03308257182929,5.18674914458088,4.56434905962697,4.94013115301054,4.73711223593401,2.98972376520124,4.6015690426593,5.61674446303384,5.64068501893514,2.92771415861357,5.90030822419032,5.20787813538632,5.73730914399153,5.40798306411527,5.77376613321681,4.39291781123846,4.25703849507687,5.24626707460495,4.30843695393528,3.68212889024336,3.38294872969345,3.61887084900957,3.4015391911206,3.08980372234974,4.27941329076379,3.24445977084436,2.54768396515246,2.95098148089209,3.47697439222454,3.3856627686683,3.41332615386374,5.10543687818095,3.55532384129675,5.14916366298547,5.47169975947193,4.55746446482977,5.03746440033834
TMEM156,2.89766835929106,3.92010988166931,3.8884120919388,3.74020987289811,4.54351896478883,4.55407991185108,3.45229765235389,4.40188063549568,4.16933247239928,4.31126661536984,3.40459763125509,4.8990225158252,3.66627849931766,3.80455183693402,4.40358209706519,3.34545411342263,3.57965740456249,3.60119901755426,4.97700444521251,3.74588656564656,3.88734411145164,3.57337758867953,3.04155658048376,3.62954176354349,3.24340307528062,2.69956458653646,3.78263616537195,1.62765670587281,1.62765670587281,1.62765670587281,3.79969710344696,5.75200599206488,4.59372362590295,5.73255759674949,4.86726671240215,5.75500732529484,5.50274859714641,5.1538411423635,5.14914618198886,5.5603722164272,4.3596339348063,4.39074539785077,5.19280739116279,5.87497780329338,4.90906063990789,4.2104936238695,4.25043851516769,4.56859663210933,4.79635244613256,3.41294612525788,5.26828420368777,4.85187743799492,5.08790575345892,4.82993678672214,4.75287967767499,4.88906383661209,5.13880873789723,4.60466851605312,5.15606895958467,4.99804484178101,4.43773743875784,4.28201047199047,4.37222306645798,3.24691158378506,4.84460746579559,4.26391405258147,3.72891890028484,3.44322225938665,3.16880963052371,4.43561878613953,3.85503728512072,5.02273708658648,3.76646358032925,5.25165682564938,5.41843335792791,5.10171903321731,4.98144940565778
