cluster_sample_id,cluster_id,sample_id,cell_count,Group
B-Naive_H-1,B-Naive,H-1,41,H
B-Naive_H-10,B-Naive,H-10,372,H
B-Naive_H-11,B-Naive,H-11,66,H
B-Naive_H-13,B-Naive,H-13,161,H
B-Naive_H-16,B-Naive,H-16,118,H
B-Naive_H-18,B-Naive,H-18,164,H
B-Naive_H-23,B-Naive,H-23,92,H
B-Naive_H-25,B-Naive,H-25,40,H
B-Naive_H-26,B-Naive,H-26,209,H
B-Naive_H-27,B-Naive,H-27,125,H
B-Naive_H-33,B-Naive,H-33,310,H
B-Naive_H-36,B-Naive,H-36,96,H
B-Naive_H-37,B-Naive,H-37,214,H
B-Naive_H-4,B-Naive,H-4,89,H
B-Naive_H-40,B-Naive,H-40,195,H
B-Naive_H-43,B-Naive,H-43,182,H
B-Naive_H-45,B-Naive,H-45,115,H
B-Naive_H-49,B-Naive,H-49,152,H
B-Naive_H-55,B-Naive,H-55,111,H
B-Naive_H-56,B-Naive,H-56,137,H
B-Naive_H-57,B-Naive,H-57,95,H
B-Naive_H-59,B-Naive,H-59,164,H
B-Naive_H-61,B-Naive,H-61,78,H
B-Naive_H-62,B-Naive,H-62,76,H
B-Naive_H-63,B-Naive,H-63,115,H
B-Naive_H-64,B-Naive,H-64,74,H
B-Naive_H-65,B-Naive,H-65,87,H
B-Naive_H-66,B-Naive,H-66,12,H
B-Naive_H-68,B-Naive,H-68,12,H
B-Naive_H-69,B-Naive,H-69,30,H
B-Naive_H-7,B-Naive,H-7,177,H
B-Naive_T1D-1,B-Naive,T1D-1,166,T1D
B-Naive_T1D-102,B-Naive,T1D-102,95,T1D
B-Naive_T1D-104,B-Naive,T1D-104,237,T1D
B-Naive_T1D-106,B-Naive,T1D-106,219,T1D
B-Naive_T1D-118,B-Naive,T1D-118,236,T1D
B-Naive_T1D-12,B-Naive,T1D-12,235,T1D
B-Naive_T1D-121,B-Naive,T1D-121,143,T1D
B-Naive_T1D-124,B-Naive,T1D-124,127,T1D
B-Naive_T1D-127,B-Naive,T1D-127,123,T1D
B-Naive_T1D-129,B-Naive,T1D-129,131,T1D
B-Naive_T1D-132,B-Naive,T1D-132,92,T1D
B-Naive_T1D-135,B-Naive,T1D-135,255,T1D
B-Naive_T1D-137,B-Naive,T1D-137,169,T1D
B-Naive_T1D-139,B-Naive,T1D-139,151,T1D
B-Naive_T1D-14,B-Naive,T1D-14,118,T1D
B-Naive_T1D-140,B-Naive,T1D-140,117,T1D
B-Naive_T1D-141,B-Naive,T1D-141,116,T1D
B-Naive_T1D-142,B-Naive,T1D-142,4,T1D
B-Naive_T1D-15,B-Naive,T1D-15,102,T1D
B-Naive_T1D-153,B-Naive,T1D-153,151,T1D
B-Naive_T1D-156,B-Naive,T1D-156,286,T1D
B-Naive_T1D-158,B-Naive,T1D-158,193,T1D
B-Naive_T1D-170,B-Naive,T1D-170,128,T1D
B-Naive_T1D-174,B-Naive,T1D-174,124,T1D
B-Naive_T1D-2,B-Naive,T1D-2,153,T1D
B-Naive_T1D-21,B-Naive,T1D-21,102,T1D
B-Naive_T1D-25,B-Naive,T1D-25,197,T1D
B-Naive_T1D-28,B-Naive,T1D-28,259,T1D
B-Naive_T1D-29,B-Naive,T1D-29,340,T1D
B-Naive_T1D-37,B-Naive,T1D-37,267,T1D
B-Naive_T1D-39,B-Naive,T1D-39,119,T1D
B-Naive_T1D-42,B-Naive,T1D-42,310,T1D
B-Naive_T1D-44,B-Naive,T1D-44,483,T1D
B-Naive_T1D-52,B-Naive,T1D-52,118,T1D
B-Naive_T1D-61,B-Naive,T1D-61,189,T1D
B-Naive_T1D-73,B-Naive,T1D-73,148,T1D
B-Naive_T1D-79,B-Naive,T1D-79,194,T1D
B-Naive_T1D-8,B-Naive,T1D-8,145,T1D
B-Naive_T1D-82,B-Naive,T1D-82,382,T1D
B-Naive_T1D-86,B-Naive,T1D-86,306,T1D
B-Naive_T1D-87,B-Naive,T1D-87,58,T1D
B-Naive_T1D-88,B-Naive,T1D-88,216,T1D
B-Naive_T1D-93,B-Naive,T1D-93,522,T1D
B-Naive_T1D-96,B-Naive,T1D-96,132,T1D
B-Naive_T1D-97,B-Naive,T1D-97,66,T1D
B-Naive_T1D-98,B-Naive,T1D-98,400,T1D
