,CD4-EM_H-1,CD4-EM_H-10,CD4-EM_H-11,CD4-EM_H-13,CD4-EM_H-16,CD4-EM_H-18,CD4-EM_H-23,CD4-EM_H-25,CD4-EM_H-26,CD4-EM_H-27,CD4-EM_H-33,CD4-EM_H-36,CD4-EM_H-37,CD4-EM_H-4,CD4-EM_H-40,CD4-EM_H-43,CD4-EM_H-45,CD4-EM_H-49,CD4-EM_H-55,CD4-EM_H-56,CD4-EM_H-57,CD4-EM_H-59,CD4-EM_H-61,CD4-EM_H-62,CD4-EM_H-63,CD4-EM_H-64,CD4-EM_H-65,CD4-EM_H-66,CD4-EM_H-68,CD4-EM_H-69,CD4-EM_H-7,CD4-EM_T1D-1,CD4-EM_T1D-102,CD4-EM_T1D-104,CD4-EM_T1D-106,CD4-EM_T1D-118,CD4-EM_T1D-12,CD4-EM_T1D-121,CD4-EM_T1D-124,CD4-EM_T1D-127,CD4-EM_T1D-129,CD4-EM_T1D-132,CD4-EM_T1D-135,CD4-EM_T1D-137,CD4-EM_T1D-139,CD4-EM_T1D-14,CD4-EM_T1D-140,CD4-EM_T1D-141,CD4-EM_T1D-142,CD4-EM_T1D-15,CD4-EM_T1D-153,CD4-EM_T1D-156,CD4-EM_T1D-158,CD4-EM_T1D-170,CD4-EM_T1D-174,CD4-EM_T1D-2,CD4-EM_T1D-21,CD4-EM_T1D-25,CD4-EM_T1D-28,CD4-EM_T1D-29,CD4-EM_T1D-37,CD4-EM_T1D-39,CD4-EM_T1D-42,CD4-EM_T1D-44,CD4-EM_T1D-52,CD4-EM_T1D-61,CD4-EM_T1D-73,CD4-EM_T1D-79,CD4-EM_T1D-8,CD4-EM_T1D-82,CD4-EM_T1D-86,CD4-EM_T1D-87,CD4-EM_T1D-88,CD4-EM_T1D-93,CD4-EM_T1D-96,CD4-EM_T1D-97,CD4-EM_T1D-98
ISCU,8.53513832279722,8.17898311456224,8.49318718871088,8.40919140006392,8.16324724980996,7.64045549363604,7.53388832130543,8.13712144375662,7.16858698828649,8.1052818256727,8.36725559496895,7.73160794442741,7.58593510549526,7.75075116293856,7.3503979113897,8.10166311371771,7.8279236269544,7.67753196961533,7.39242840627339,8.23011757932486,8.73630073008508,8.23653271288985,8.29599067666628,8.39774785823086,8.52677173823332,8.41011713274185,8.72121747809252,8.67180841995343,8.04319981726163,8.03232942549655,7.89401847754128,7.00389687155588,6.71353566684964,6.8169782785481,7.0184307625629,6.835132485209,7.04326178853007,7.27244769894677,6.60856633217418,6.74329927434469,7.14821890173307,6.69929923135557,6.97081380660902,6.68325319063105,7.06065066914314,8.48129127217705,7.26372122462207,7.30835092343954,7.44811628867109,8.28311987512599,7.14574441053144,7.07490717254992,6.75213530904939,7.02570750703138,7.14779120283015,7.54502438465255,6.92704354177319,6.74685203238899,7.30273151736858,7.50157559038197,7.38789491283865,7.48246350246354,7.06404064152852,8.2451486413495,7.26562234752307,8.02066982195131,8.20625815823318,8.27185824720294,7.80416342749184,7.28615602322051,7.27470545972359,7.21487541439539,8.89159677303764,7.27982777570576,6.76715091093959,6.9769213494991,7.13161005109054
BIN2,4.86644719391857,5.05927687490081,4.7491095512929,5.14060079946874,4.93496435791317,5.5745127937301,6.00049567921923,5.33650097397953,5.65213530899932,5.37730566402431,5.01207662705146,5.88823540635017,5.6945682675078,5.43141457998509,6.21615290302058,5.10342975748211,4.99332599522676,3.96224001412815,7.65957123757071,5.76668486426134,4.25690838745668,5.1678865297737,4.86161571164121,4.29794589580317,4.71511808526286,4.25672277802848,5.1634012793686,4.51814990296646,5.2435805150215,5.0372377971696,5.24917119798523,7.37093227239173,7.11944589231234,7.51764827671117,7.21896274321168,7.27434314100894,7.04326178853007,6.85851853711796,7.23415111805767,7.4590788990357,6.37953471533885,7.15104574121774,6.63155858352871,7.11843285324826,6.6848447079257,4.71227291684358,5.86075848755678,7.54797311621364,6.52299431357392,4.81456633880118,7.77851725404149,7.6585648405521,7.49704273779209,7.41968637401659,7.63337783550796,5.89149454215246,6.84217438489386,7.10688830964373,6.88598852889279,6.70447268841346,5.69618818613499,5.44992064684763,5.67119129354358,4.64050434926985,6.55066493835846,5.91593755363779,4.76544057523525,4.51389268346368,4.59684147388097,6.239425275065,6.25206446804434,7.7896750753629,5.56319025267445,7.26858097850684,7.48080841132147,7.1543003885059,7.09063891721927
EIF4E,6.52937663094189,6.7943467682767,7.00382426093018,6.6534884715977,7.01030718730776,6.69415979626954,6.43016801270401,6.93303333796155,6.35985038788643,6.65272131331972,6.47704286598782,6.75167610310463,6.87043431863999,6.71020333414812,6.90467353479885,6.99935482422932,6.74768678956543,7.00082422374899,6.18750877406797,6.64146849231314,7.03633829706263,6.76645931107053,7.18856391629582,7.12133819019076,6.69824631970531,6.99972820212127,7.20374244202795,7.28707901943596,7.16150308208989,6.87555185749384,6.48179637305117,6.25217710390501,5.8646400666638,5.50387763145394,5.90845274749875,6.04887172138152,6.64409909598442,6.36100082244126,5.59602766757221,6.16502859134299,6.33607515709165,5.44816168640415,6.13503037102814,5.43472326636091,5.905261331951,7.03899411521323,6.53793569485294,6.24525028708707,6.52299431357392,6.31746348366406,5.73524025598746,5.62364555335778,5.86898132869807,5.84321833126905,5.82047572262299,6.45940546829266,6.27841431182002,6.4255342701437,6.17802804517973,6.86194476553487,6.60267102299515,6.71462185045282,6.75972763527115,6.59890708848334,6.54021845765771,6.67029617355334,6.82113286339502,5.94988225537457,6.92808114625998,6.46923154659203,6.5501946596603,6.04254654663681,6.84078311588011,5.73445122229441,5.88290088705297,5.84246782011151,5.74644110289675
AES,5.95992459358612,6.34828846732534,6.04794182861337,6.36895472549754,6.33495025937491,6.68587254766892,6.90769253539127,6.86812420216362,7.01458471284246,6.42452517107136,6.55385383982997,7.33061661569962,7.05213864858503,7.06865153906381,6.97633189480381,6.73816003378128,5.9116712624793,5.93482216340808,7.98552825953181,6.81079361224078,5.29650058144148,6.39152978309752,5.29955231107868,5.66082709077799,5.94806882955462,5.27399628953733,5.91558264664916,6.07426200947062,6.17485899221812,5.88512176165367,6.50043560128534,7.95003003771545,7.5929836902341,8.00593371307494,7.88002489119711,8.03204018817042,8.13603808253832,7.75737879205341,8.26827533369735,8.11058957818281,7.11653519031919,7.95165353225313,7.10119943611634,7.86007687803265,7.769928322369,6.56862606374494,6.98708644629872,8.00106209159439,6.52299431357392,6.11883043621224,8.14083341399688,8.24957561317871,8.19376508564314,7.74714185236224,7.79905188444947,7.35426076253648,7.67983717281882,7.60959911410434,6.98802053007869,7.31823543551563,6.91946707788161,6.77626195260356,7.12164559253516,6.7803540724037,7.22712938642192,7.17556904084563,5.67226746522637,5.77264103336956,6.11597552807207,7.53646141543474,7.42879123798119,7.9244573090506,6.31260086823404,7.7408512798176,8.29604426779977,7.58396466656491,7.60861266398783
TSPAN32,3.72226593287517,3.81864401672603,3.42274165319951,3.75146094415246,3.70048076425439,4.25584777432853,2.97536257638752,3.83816232911314,4.22451413466161,3.73656455867815,3.89800235145088,3.78967471969399,4.46317817804267,3.62196331500259,3.96578641764018,3.35093174241083,3.29937813944479,4.19205632865224,4.73097249625027,4.32403259219927,3.32243261234605,2.27467163364597,3.44566382409592,2.76275640360888,3.59871413230511,2.98146480772483,3.00783970032746,3.8208311246869,2.27467163364597,2.27467163364597,3.25419917664354,5.04929118480426,4.3936563603449,4.6340278080211,4.37189027270054,4.68920040405756,5.00925760388485,4.61770087561242,5.0206795621378,4.69819975506681,4.02125821629573,5.38603074484217,4.86726067744197,4.63156685282241,5.17385112687477,4.33160254527899,3.8427070093584,4.86155033076512,2.27467163364597,3.6225312595049,5.10432874669087,5.13242235717682,5.2694364877736,4.53613186956059,4.05944957474328,4.4393796612384,5.1548288161709,5.30304893700488,4.38691830383089,4.87215878490736,3.76517934969616,4.08215210736764,4.59290309133122,3.7356331208607,4.96285273025398,4.32630553481883,3.8853192685001,3.76959328885955,4.08862382923923,4.8560554757116,4.21651258392323,4.96749593741631,3.93116686669758,4.00499090899346,4.69793675390788,3.98105840440738,4.29230477180007
PER2,4.97427845942858,4.91761781499722,5.81795400025787,4.74263410628783,5.27170411311535,5.15591610533219,5.29820996728302,5.08899274890542,5.2864668256016,5.10835943899795,5.32855654465197,4.94018254424503,5.07138513192812,5.03458531383517,5.11791795917566,5.27368310342184,5.10657115833688,4.96161058656118,3.65548595874847,4.51293732265079,5.2286214952875,5.08055289719479,5.29955231107868,5.18718039352762,5.17484200853756,4.79660993291828,5.5695290032735,5.30888125279688,4.61135374512592,5.21217227641438,4.7095814232264,4.14039045306101,4.45248948071361,3.02572518569362,3.93536308336849,3.48703289534463,4.0752259578192,4.44574779665127,3.5325581196488,4.11887689860878,4.28983868316971,3.48865788892992,4.68328986013718,4.1176769893096,4.31104246675162,4.50833929374585,4.9150113462496,3.57555238625159,2.27467163364597,5.08566884088891,4.06584782040922,3.92124610817524,3.53493589859189,3.62274756650622,3.57433648823938,3.73466038047821,4.23617714625035,4.00935144332694,5.01995727775935,5.09606141492539,4.91710661794386,4.91910947526952,4.80181386377645,4.76445618669519,4.59845401139146,4.9815239228737,5.29124991339094,5.1697198868908,4.81803464874005,4.25459785169876,4.08927879257723,4.40236221208494,4.67376735293866,3.87944102694042,3.94389221555268,4.31435761358767,4.06856255366455
ATRX,5.03513685739862,5.26726858244742,5.6781720490048,5.95005631867131,5.50532866788472,5.91130190901503,6.07752359339303,5.00934760470544,5.77091537411869,5.20388462606336,5.43091134397479,5.75158127086049,5.78599023089849,5.4120861400012,5.98777895382051,4.83796359864813,5.3548956922606,5.74708187506103,7.17757728705488,5.11696956350737,4.62815012676644,4.53379886695284,5.29955231107868,4.85795822686302,5.13883679782708,4.97473685190976,5.26436285227078,5.23152860224684,5.13825433945704,5.54038531519537,5.45645462356348,6.9828393901863,7.1535429118173,6.13696708013338,6.84949745025895,6.11099925356347,6.67906296725626,6.29443479267128,5.81436405906435,7.42908465873184,6.01597919072936,7.43496361371133,6.50248885577313,6.83071459357783,6.51573190420932,5.04607526309807,5.82081907257464,7.16325774316545,6.52299431357392,5.22599169346896,7.26185010932346,7.66570964677055,7.60306660416767,6.88844511145002,7.16902251484508,6.03483353373376,6.62217165775817,6.08474156716488,6.44784799627199,6.45024052179982,6.05227755403882,5.74059203776971,6.25768422721547,5.29748427579836,6.28874031003929,6.27320978383401,4.93719925392819,5.04872777265974,5.32445018201135,6.14578139980827,6.16671320634111,7.45803909863721,5.48261291315849,6.92601328405956,6.20076712658614,7.01983857610388,6.72153081241476
UBE2D3,9.25296043792728,9.14468170540109,9.38049683169833,9.53299129626653,9.09392206136754,9.08597919294342,8.82376866642335,9.07463355137797,8.963229415986,9.13461265498446,9.02419907040748,9.01421552083694,8.93706708340368,9.08221748446242,9.20060601530753,9.27004070852863,9.29800330776528,9.35405329802221,8.81227076227772,9.28896441356473,9.77809152160367,9.52059723545269,9.56108189072037,9.52898292046731,9.65435608073457,9.57589252936653,9.58750422092667,9.785360524848,9.67379661811215,9.66341343682569,9.34791325183342,8.84244991543843,8.71651157364949,8.60934421314606,8.70977007005731,8.81900303815891,8.95642708672443,8.90911520384686,8.7991424227058,8.50477696338304,8.95388211474768,8.19472729739803,8.34178816324775,8.6652395591674,8.56596557505534,9.22822925844226,8.93931555030227,8.91980949748663,8.40842105308941,9.18686103995084,9.03934496847257,8.52561248700288,8.74984032259597,8.66727146134878,9.00748453338854,8.95582475619964,8.57774292026217,8.93428097498834,8.76046633945767,9.17358744408617,9.02710374769737,9.16981349957933,8.9931711985969,9.13621854800428,9.03239748116262,8.96342289536478,9.3692599588093,8.9051868270835,9.26589426840476,9.05855758046083,9.06135242443781,8.84196484693916,9.8229360413882,8.72494150521312,8.73009168897213,8.76912282302691,8.54809240484083
GPSM3,6.66132035979388,6.8462834212294,6.39786701688829,6.67320648985383,7.01030718730776,7.1077842261189,7.19844781445989,7.19355221427971,7.39103341747194,7.26687185642368,6.62676153326477,7.27720536843308,7.07631958555856,7.30448854478474,7.28295944960277,7.36322412078486,6.81459153815668,6.20142684031364,8.49744914331662,7.33155239342137,6.51081305880378,5.8822595650827,6.05661623470704,6.22466900000404,6.19294698246723,7.12762832344709,7.74910964611983,6.68854537074043,5.88439441932118,6.6699077871805,6.98338359235366,8.40218298916847,8.03812111141903,8.78852763347812,8.49775868163019,8.70086247664517,8.00465266086764,8.02920194908332,8.6663165232066,8.69941144670736,7.74508298671143,8.68970305639609,7.88503556580333,8.26028510587374,7.88102526277196,7.07501013797385,7.27845014783695,8.91478603685319,7.44811628867109,6.35809593957133,8.96794771354039,8.71652233984789,8.61882361638779,8.12596896416271,8.59452197295087,7.47797480512337,7.87026044106187,7.91579363818506,7.35818710969688,7.77909617819201,7.04820519430681,6.95861005394468,7.33145443450645,6.46380367387315,7.53083451841051,7.41239911251731,6.75558215486986,6.3536450325711,6.88138552746728,7.89289570615628,7.5456916645986,8.55352664500441,7.5058454105538,8.37018848656519,8.97011123325242,8.25072984016948,8.25274773030098
CRIP1,6.94108160762186,6.27424142735605,7.39599318864074,5.88362337083158,6.89062479084442,8.93191443715317,7.36065279240879,6.62778070708716,7.98080120640246,6.84957635042795,7.71219965598422,7.51387852600963,8.01259999409241,7.31481020038916,8.0225773536807,7.57021078401945,6.50583801022022,6.15193908498943,9.43755851498066,6.66691442040622,5.48239670033932,6.35537036442103,5.41949240986676,5.84187147169504,4.76391658604155,4.79660993291828,5.68248435914774,5.51822813555594,6.93273906802569,6.07582837021863,6.51883573920414,9.19765639449114,9.40358460704476,9.87214594879453,9.82866961621592,9.20290200391272,7.75768438764193,8.76082820700336,9.16432829672392,9.38187191616925,8.48628305236495,9.22455799442639,7.98001407811789,8.47896015168233,8.56263710811177,6.58121858125746,8.72774644840892,9.64831944659329,6.52299431357392,6.81702341240347,8.99214159718216,8.94207966418625,8.61882361638779,8.77889180651304,8.66339794397392,8.77224362476492,8.75817807178403,8.3131556364114,8.53377125714228,6.5647510480182,8.75303120269642,8.14255021256114,6.87594189355197,7.0156827930181,7.72282436808499,7.17112388498389,6.73305017543934,6.92616310632866,7.04918716454768,7.68479726933599,7.61153401512241,8.92519453941536,6.24630817631551,9.47058854128354,9.93639182434097,8.78162966278717,9.81454405269122
