cluster_sample_id,cluster_id,sample_id,cell_count,Group
CD4-EM_H-1,CD4-EM,H-1,733,H
CD4-EM_H-10,CD4-EM,H-10,365,H
CD4-EM_H-11,CD4-EM,H-11,525,H
CD4-EM_H-13,CD4-EM,H-13,268,H
CD4-EM_H-16,CD4-EM,H-16,804,H
CD4-EM_H-18,CD4-EM,H-18,558,H
CD4-EM_H-23,CD4-EM,H-23,345,H
CD4-EM_H-25,CD4-EM,H-25,352,H
CD4-EM_H-26,CD4-EM,H-26,390,H
CD4-EM_H-27,CD4-EM,H-27,458,H
CD4-EM_H-33,CD4-EM,H-33,390,H
CD4-EM_H-36,CD4-EM,H-36,608,H
CD4-EM_H-37,CD4-EM,H-37,321,H
CD4-EM_H-4,CD4-EM,H-4,587,H
CD4-EM_H-40,CD4-EM,H-40,610,H
CD4-EM_H-43,CD4-EM,H-43,309,H
CD4-EM_H-45,CD4-EM,H-45,367,H
CD4-EM_H-49,CD4-EM,H-49,162,H
CD4-EM_H-55,CD4-EM,H-55,510,H
CD4-EM_H-56,CD4-EM,H-56,404,H
CD4-EM_H-57,CD4-EM,H-57,379,H
CD4-EM_H-59,CD4-EM,H-59,172,H
CD4-EM_H-61,CD4-EM,H-61,192,H
CD4-EM_H-62,CD4-EM,H-62,521,H
CD4-EM_H-63,CD4-EM,H-63,399,H
CD4-EM_H-64,CD4-EM,H-64,280,H
CD4-EM_H-65,CD4-EM,H-65,355,H
CD4-EM_H-66,CD4-EM,H-66,355,H
CD4-EM_H-68,CD4-EM,H-68,142,H
CD4-EM_H-69,CD4-EM,H-69,378,H
CD4-EM_H-7,CD4-EM,H-7,365,H
CD4-EM_T1D-1,CD4-EM,T1D-1,182,T1D
CD4-EM_T1D-102,CD4-EM,T1D-102,409,T1D
CD4-EM_T1D-104,CD4-EM,T1D-104,415,T1D
CD4-EM_T1D-106,CD4-EM,T1D-106,438,T1D
CD4-EM_T1D-118,CD4-EM,T1D-118,795,T1D
CD4-EM_T1D-12,CD4-EM,T1D-12,298,T1D
CD4-EM_T1D-121,CD4-EM,T1D-121,569,T1D
CD4-EM_T1D-124,CD4-EM,T1D-124,352,T1D
CD4-EM_T1D-127,CD4-EM,T1D-127,472,T1D
CD4-EM_T1D-129,CD4-EM,T1D-129,423,T1D
CD4-EM_T1D-132,CD4-EM,T1D-132,253,T1D
CD4-EM_T1D-135,CD4-EM,T1D-135,414,T1D
CD4-EM_T1D-137,CD4-EM,T1D-137,333,T1D
CD4-EM_T1D-139,CD4-EM,T1D-139,390,T1D
CD4-EM_T1D-14,CD4-EM,T1D-14,398,T1D
CD4-EM_T1D-140,CD4-EM,T1D-140,370,T1D
CD4-EM_T1D-141,CD4-EM,T1D-141,404,T1D
CD4-EM_T1D-142,CD4-EM,T1D-142,1,T1D
CD4-EM_T1D-15,CD4-EM,T1D-15,316,T1D
CD4-EM_T1D-153,CD4-EM,T1D-153,215,T1D
CD4-EM_T1D-156,CD4-EM,T1D-156,402,T1D
CD4-EM_T1D-158,CD4-EM,T1D-158,183,T1D
CD4-EM_T1D-170,CD4-EM,T1D-170,312,T1D
CD4-EM_T1D-174,CD4-EM,T1D-174,285,T1D
CD4-EM_T1D-2,CD4-EM,T1D-2,450,T1D
CD4-EM_T1D-21,CD4-EM,T1D-21,297,T1D
CD4-EM_T1D-25,CD4-EM,T1D-25,354,T1D
CD4-EM_T1D-28,CD4-EM,T1D-28,285,T1D
CD4-EM_T1D-29,CD4-EM,T1D-29,262,T1D
CD4-EM_T1D-37,CD4-EM,T1D-37,533,T1D
CD4-EM_T1D-39,CD4-EM,T1D-39,592,T1D
CD4-EM_T1D-42,CD4-EM,T1D-42,412,T1D
CD4-EM_T1D-44,CD4-EM,T1D-44,365,T1D
CD4-EM_T1D-52,CD4-EM,T1D-52,544,T1D
CD4-EM_T1D-61,CD4-EM,T1D-61,725,T1D
CD4-EM_T1D-73,CD4-EM,T1D-73,261,T1D
CD4-EM_T1D-79,CD4-EM,T1D-79,274,T1D
CD4-EM_T1D-8,CD4-EM,T1D-8,382,T1D
CD4-EM_T1D-82,CD4-EM,T1D-82,285,T1D
CD4-EM_T1D-86,CD4-EM,T1D-86,232,T1D
CD4-EM_T1D-87,CD4-EM,T1D-87,431,T1D
CD4-EM_T1D-88,CD4-EM,T1D-88,657,T1D
CD4-EM_T1D-93,CD4-EM,T1D-93,518,T1D
CD4-EM_T1D-96,CD4-EM,T1D-96,274,T1D
CD4-EM_T1D-97,CD4-EM,T1D-97,243,T1D
CD4-EM_T1D-98,CD4-EM,T1D-98,488,T1D
