,CD8-Naive_H-1,CD8-Naive_H-10,CD8-Naive_H-11,CD8-Naive_H-13,CD8-Naive_H-16,CD8-Naive_H-18,CD8-Naive_H-23,CD8-Naive_H-25,CD8-Naive_H-26,CD8-Naive_H-27,CD8-Naive_H-33,CD8-Naive_H-36,CD8-Naive_H-37,CD8-Naive_H-4,CD8-Naive_H-40,CD8-Naive_H-43,CD8-Naive_H-45,CD8-Naive_H-49,CD8-Naive_H-55,CD8-Naive_H-56,CD8-Naive_H-57,CD8-Naive_H-59,CD8-Naive_H-61,CD8-Naive_H-62,CD8-Naive_H-63,CD8-Naive_H-64,CD8-Naive_H-65,CD8-Naive_H-66,CD8-Naive_H-68,CD8-Naive_H-69,CD8-Naive_H-7,CD8-Naive_T1D-1,CD8-Naive_T1D-102,CD8-Naive_T1D-104,CD8-Naive_T1D-106,CD8-Naive_T1D-118,CD8-Naive_T1D-12,CD8-Naive_T1D-121,CD8-Naive_T1D-124,CD8-Naive_T1D-127,CD8-Naive_T1D-129,CD8-Naive_T1D-132,CD8-Naive_T1D-135,CD8-Naive_T1D-137,CD8-Naive_T1D-139,CD8-Naive_T1D-14,CD8-Naive_T1D-140,CD8-Naive_T1D-141,CD8-Naive_T1D-15,CD8-Naive_T1D-153,CD8-Naive_T1D-156,CD8-Naive_T1D-158,CD8-Naive_T1D-170,CD8-Naive_T1D-174,CD8-Naive_T1D-2,CD8-Naive_T1D-21,CD8-Naive_T1D-25,CD8-Naive_T1D-28,CD8-Naive_T1D-29,CD8-Naive_T1D-37,CD8-Naive_T1D-39,CD8-Naive_T1D-42,CD8-Naive_T1D-44,CD8-Naive_T1D-52,CD8-Naive_T1D-61,CD8-Naive_T1D-73,CD8-Naive_T1D-79,CD8-Naive_T1D-8,CD8-Naive_T1D-82,CD8-Naive_T1D-86,CD8-Naive_T1D-87,CD8-Naive_T1D-88,CD8-Naive_T1D-93,CD8-Naive_T1D-96,CD8-Naive_T1D-97,CD8-Naive_T1D-98
CHRM3-AS2,1.8282327815989,2.68488110035567,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,3.14791403839398,2.70296240463852,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,2.46720308881898,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,3.08915117413474,2.69673558487884,2.36587413033925,1.8282327815989,1.8282327815989,1.8282327815989,2.35418043974186,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,3.18142728957421,1.8282327815989,3.37834273396984,2.82122286496272,3.31467326761693,2.79681964865219,2.87524918677831,2.95133776571949,3.31233503770638,3.73606688677204,2.9325858876868,3.64922977705523,3.08366294760879,3.38260419437197,2.85436497620336,3.60592304742768,3.25728219646383,2.51344398170484,2.84199186931051,3.53002111100704,3.22529319502612,3.18848947261658,3.87977385700663,3.03177791695586,3.12280030421819,3.42252053316938,2.79000344525704,3.35820685755472,2.60875417741499,2.31800613486367,2.58024757259003,2.99926510460271,3.43974306214871,2.76104407601725,3.45833980951135,2.68818512689186,1.8282327815989,3.03434145599981,2.84966206784029,3.06115841228121,1.8282327815989,3.20752342314517,2.78490612518364,3.76275575690493,3.19060051210249
BIN2,1.8282327815989,3.02314420921984,1.8282327815989,2.71305526942478,1.8282327815989,3.92548273763144,1.8282327815989,3.50809296492746,3.45868041643766,3.3638439924338,2.99975398954034,3.69192738453139,3.18595632515754,3.0772680818202,1.8282327815989,1.8282327815989,3.41453596701376,1.8282327815989,3.99488689504643,3.82472425238691,1.8282327815989,2.69897919609432,1.8282327815989,2.42332003735184,3.34412506906645,1.8282327815989,3.81284418047077,2.76409218710891,3.23060451575409,3.37253277335154,2.97705366738281,4.03682613177575,4.11690133304382,4.5204398534304,4.47792080001778,4.25579716411664,4.12575152220884,3.57341153060905,4.40712374301799,4.19427136000107,4.27465770019883,4.29010225456304,3.64922977705523,4.27302188440183,4.27070167482504,2.85436497620336,3.84500738152854,4.7773732457853,3.43770110585054,4.92765899478105,4.89562297249203,4.6194778811445,4.56975088375619,4.65810695993164,3.66109569045223,4.09255214966692,4.05970482791825,3.31109968132535,3.8804571683023,3.21651856935827,3.66926274580646,3.54828559756439,2.99926510460271,3.8583496693218,3.45221958448454,3.45833980951135,3.27807753377964,3.33453865669771,3.60067623926952,3.47545171076719,4.4378765243764,2.74202456187065,4.31375935424357,4.5419997528853,4.85137522721515,4.32992043431228
CD8B,4.27583804413589,4.36972295509367,4.95617419746212,4.57281022066838,1.8282327815989,4.37648459148833,4.85582907688434,4.50445392892084,4.8752229654163,3.91670026839426,4.5393496057171,4.84571184115988,4.84091013605115,4.72520666136555,3.44378428855906,1.8282327815989,4.48216954628593,4.4334507368683,6.17846228145261,4.488990101455,4.31758080081373,4.20297816697636,4.25534786848563,4.40699177787612,4.19727250215051,4.02161854855587,4.47457005355926,3.61628386637219,4.10895110487588,3.92774238349643,4.37386646656144,6.07455294340283,6.07206529227773,5.85090861839892,5.84863455283149,5.74729335645584,5.53706398753348,5.52055378721778,5.43946359682947,6.16436840909006,5.68105565293832,4.94108224295685,5.02293344434461,5.60983510895974,5.47974852840266,4.63581184827695,4.63945280754252,5.94687643176868,4.80069504940176,6.41790691350315,5.86148253070942,6.14134258009841,5.68912842827362,6.34925264577148,5.20426264636786,4.96106255800968,5.54463366701754,4.80414243115445,4.90721889689755,4.70842621907439,4.47486409244062,4.85151145731503,4.65146018450803,5.07072664063844,5.18356555221318,4.43493498600201,4.2134165966133,4.64106093694894,5.50661319587527,5.22829171004142,6.32611907844775,4.60031973921943,5.94815948701131,6.11981885807053,5.67977950241588,5.83704667469039
LINC00861,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,3.21997195266961,1.8282327815989,3.04769436866354,3.45868041643766,2.74192113553343,2.4259366156342,2.80734038695034,3.87821862796346,3.54687887567708,3.44378428855906,1.8282327815989,3.14364288907522,1.8282327815989,4.08353291732028,3.13036589447537,1.8282327815989,3.2953646265632,3.01273126833308,2.99481925469063,2.568028746592,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,3.10785558407802,1.8282327815989,3.18142728957421,4.11690133304382,4.43885763658835,4.07486312987301,4.28033311303183,4.17266352423649,3.73545785722026,4.20858619346319,4.12535524880724,4.73897890770679,4.29010225456304,3.95441953185237,4.15765604438576,4.27070167482504,2.34934476823573,3.30762082740887,4.87496681483267,2.78857286393047,4.52318956092546,4.24051046264344,4.74624084359463,3.88174631886864,3.46539756994411,4.07249970993976,4.33858851310179,3.91863708065956,3.84945561758422,3.69050842923928,2.60875417741499,2.51762992658507,2.36296201476689,2.99926510460271,3.6507472380564,2.96134370888773,1.8282327815989,3.02763311994417,3.33453865669771,2.98946436438201,2.79338633273565,4.27809321093237,3.10060125859409,4.02185713663614,4.3786254332418,4.64970757215214,4.32992043431228
SH3BGRL,2.84704573184045,3.02314420921984,1.8282327815989,2.90389040445212,1.8282327815989,1.8282327815989,3.63906203846416,2.70296240463852,1.8282327815989,2.74192113553343,3.12973299447895,3.46725327301912,2.80532958118237,2.91794020954257,1.8282327815989,1.8282327815989,1.8282327815989,2.54220231233941,4.16660279280772,1.8282327815989,2.36587413033925,2.69897919609432,3.46209028150396,3.12431493809183,2.72952544456361,2.62179662578493,1.8282327815989,3.39901467006429,1.8282327815989,2.94501078068036,2.97705366738281,3.18142728957421,4.52462567986454,3.89359386916248,3.90791433806752,3.20410926078555,3.49085343261062,3.16179811680442,3.59619671918366,4.16025857568295,3.5565220140609,3.35603686131769,3.24087953759228,3.84139134014956,2.95260406056617,2.56129762641044,3.30762082740887,4.14781552338619,3.30899482303318,3.75199496802899,4.0440837459383,4.19503399529244,3.88174631886864,4.04513827505929,3.03177791695586,3.39008332101053,3.30518591562065,3.55593838658305,3.1052316955939,3.39479963052956,2.90359776594368,3.24359871211253,1.8282327815989,3.36008149848557,3.26841506599158,3.45833980951135,2.92810525596104,3.33453865669771,3.26860919178479,3.47545171076719,4.23501650549877,3.9169092416249,3.56979675790545,4.25769829088356,3.24351940523217,4.26529629423374
ARHGAP15,2.84704573184045,2.68488110035567,3.30510305072745,3.3178635737092,1.8282327815989,3.50384381571551,3.14791403839398,3.68373019165588,3.01014453599188,2.74192113553343,2.99975398954034,3.18865953849133,3.18595632515754,3.33656704632607,1.8282327815989,1.8282327815989,3.63350761883874,1.8282327815989,3.89978208180395,3.36434941185489,2.88590297103948,2.69897919609432,3.01273126833308,2.84509680582608,3.26408929253149,2.62179662578493,4.07185080918968,3.39901467006429,1.8282327815989,2.74739097225285,1.8282327815989,3.6825600386501,4.11690133304382,4.01438715513769,4.07486312987301,3.59358210683895,3.63917954133953,3.65710081701301,3.25605557479458,3.71283620833121,4.0328695091216,2.9325858876868,3.64922977705523,3.34409129302874,3.86319935513681,2.96980392950877,2.89620418999708,3.97706082554565,2.78857286393047,4.74006572998177,4.00103990258152,4.12528007523454,3.64525127074328,4.32430657687818,3.28296771584191,4.09255214966692,3.47698299470154,3.75907929951346,3.48637544157933,3.80858607134975,3.76695300935563,3.47930025029308,3.76411969013885,3.9378861422193,3.39418688744988,3.45833980951135,3.02763311994417,3.72321351187974,3.33656278635501,3.58896313734747,4.0218746355178,3.57739869448718,3.56979675790545,4.02823922282991,3.76275575690493,4.56151629526548
HCST,3.76071557838321,3.93571015517572,4.21702498119385,3.99627410903358,1.8282327815989,4.37648459148833,3.63906203846416,3.9746502943473,4.74351538178169,4.40827752326007,4.28073224781591,2.80734038695034,3.46409137919025,4.02129534467387,3.44378428855906,1.8282327815989,2.77390217993186,3.36706607983662,5.62140275842812,4.19779267884596,3.3753071364164,3.2953646265632,3.78458077220501,3.60834222390222,4.19727250215051,3.66918838498932,3.4866538762372,3.39901467006429,3.23060451575409,3.92774238349643,3.98154619038213,5.20948785369086,4.52462567986454,5.07830985487349,5.66095518779575,5.19030899950597,4.9831176727493,5.06295575525465,5.52519281163817,5.58042482732788,4.81568921957254,5.22285817398279,4.69851352965757,5.06378331025538,4.58291617936036,3.60326340722856,4.63945280754252,5.99053695956546,3.30899482303318,5.85879457654551,5.3398301183684,5.62047636810369,5.17793204430795,5.00609216533289,4.9187313505733,4.72749806319934,4.71005082997817,4.46512794937746,4.31454215400904,4.02384497327944,4.02170315144925,3.51429340589168,3.8976434716079,4.59431438137478,3.79476559497503,4.43493498600201,3.85400735228822,4.14440039114636,4.00227628978625,4.07636066308594,5.35608876077378,3.75860394154184,5.16683543302715,5.58094555244213,5.45345467679935,5.32282640442306
AES,2.84704573184045,4.17030912055357,1.8282327815989,3.85809966284996,1.8282327815989,3.92548273763144,3.63906203846416,3.9746502943473,4.4354129247028,4.50751723092392,4.01941751154817,3.69192738453139,3.87821862796346,3.54687887567708,3.44378428855906,1.8282327815989,4.12494579944666,3.49989687475667,4.4554188162333,4.26812995281486,3.11021720495954,3.82932316757257,4.04097675336038,3.43846047344531,3.41885394099592,3.36216370705888,3.81284418047077,3.39901467006429,1.8282327815989,3.85075406909483,4.192054970416,4.74368356346064,4.11690133304382,4.69388346206379,4.47792080001778,5.04410507506034,4.86298001537995,4.33293988689685,4.6704124529213,5.02464925081487,4.38096880475117,4.11225927968947,4.27423424936919,4.50919238668557,4.79801510182293,3.54089399230961,4.22065273602942,4.87496681483267,4.0102440059477,5.01281223558349,5.14465561903603,4.819978579138,4.38148072788357,5.51768436457547,4.28887429470703,3.78985322012199,4.18710977111275,4.01308992519169,4.33555187030476,4.51605278611065,3.66926274580646,4.39642526124269,4.32650466512627,4.49624058520452,4.5036341003772,3.45833980951135,3.48171702139991,3.5446216115903,4.82282755467727,4.64076459014654,4.95140559628453,4.40851827880316,5.0432745852459,4.74829582382912,4.41358675216111,4.56151629526548
FTL,6.33583534161119,7.00215922159216,6.96204711130607,7.01856164241697,6.23355168665543,7.02385783984188,6.72378390536976,6.58195946383729,7.51888409761983,7.29665186132193,6.78448999593721,6.8118109974839,6.48981380640615,6.8931803367256,7.27765994547587,6.08225699891616,6.52901534997369,6.49817610044826,7.34077319674499,6.69760994945181,5.65119597734185,6.46419652351104,6.23415706667847,5.80477460128844,6.41301193854589,5.7905641262404,6.27755633506312,6.82986774361309,6.37742400853806,6.38765030564203,7.20002543028829,7.42346589786183,7.67661777424393,7.69127442302937,7.7022471838801,7.64937858621129,7.39169591687649,6.91852854151678,7.55511015402897,7.27294914352165,6.94418498246526,6.71806486422247,7.20933116257338,7.22123858622425,7.10658191855142,7.09535923481615,6.71052267729152,7.23459939400743,6.5840213311546,7.48173908130486,7.47853278710804,7.4921136297836,7.11651095148585,7.79647347143251,6.90172364502017,7.16008139678663,7.15766591059944,6.89678674400264,7.27507330554794,7.11226484945621,7.27947098488477,7.1087342006377,6.6563757282715,7.11719223750769,7.07229826267707,7.15995996542003,6.1766314908523,7.41625499033665,7.35045699052543,7.4919817648692,7.29626719708208,6.82066863932069,7.02359739877844,7.4879290598452,7.37627820596519,7.3932027016867
TMBIM4.1,3.52947032950299,2.68488110035567,1.8282327815989,2.90389040445212,1.8282327815989,1.8282327815989,1.8282327815989,1.8282327815989,3.45868041643766,1.8282327815989,1.8282327815989,2.80734038695034,2.80532958118237,1.8282327815989,1.8282327815989,1.8282327815989,3.14364288907522,2.54220231233941,4.3187006053311,3.2141019294551,2.36587413033925,1.8282327815989,1.8282327815989,3.34328671499605,2.9799810315677,2.93719894446277,1.8282327815989,3.13041029257653,1.8282327815989,3.68119325180812,2.97705366738281,4.03682613177575,4.52462567986454,4.15986909727085,3.4890538479188,3.46242580711537,3.32112320273053,3.02897243664145,3.43855419616154,3.76060564248373,2.73022204487231,4.11225927968947,2.8462578159892,3.41881878842612,3.38260419437197,2.34934476823573,3.60592304742768,4.43517836627926,2.78857286393047,3.75199496802899,4.12616799998961,3.49048314803127,3.64525127074328,3.6898730457318,2.69123669365242,2.75845440638046,3.76023423516814,2.51448271569221,3.1875636591886,3.21651856935827,2.90359776594368,3.19896267519044,3.2445788953144,3.1317633668651,3.12629636605467,3.45833980951135,2.92810525596104,2.72350817994335,3.03434145599981,3.28132238093186,4.04732349268026,3.10060125859409,4.02185713663614,4.05305653434481,4.41358675216111,3.58720131716917
