cluster_sample_id,cluster_id,sample_id,cell_count,Group
CD8-Naive_H-1,CD8-Naive,H-1,14,H
CD8-Naive_H-10,CD8-Naive,H-10,23,H
CD8-Naive_H-11,CD8-Naive,H-11,8,H
CD8-Naive_H-13,CD8-Naive,H-13,48,H
CD8-Naive_H-16,CD8-Naive,H-16,3,H
CD8-Naive_H-18,CD8-Naive,H-18,15,H
CD8-Naive_H-23,CD8-Naive,H-23,12,H
CD8-Naive_H-25,CD8-Naive,H-25,22,H
CD8-Naive_H-26,CD8-Naive,H-26,13,H
CD8-Naive_H-27,CD8-Naive,H-27,22,H
CD8-Naive_H-33,CD8-Naive,H-33,52,H
CD8-Naive_H-36,CD8-Naive,H-36,19,H
CD8-Naive_H-37,CD8-Naive,H-37,18,H
CD8-Naive_H-4,CD8-Naive,H-4,40,H
CD8-Naive_H-40,CD8-Naive,H-40,9,H
CD8-Naive_H-43,CD8-Naive,H-43,2,H
CD8-Naive_H-45,CD8-Naive,H-45,27,H
CD8-Naive_H-49,CD8-Naive,H-49,33,H
CD8-Naive_H-55,CD8-Naive,H-55,30,H
CD8-Naive_H-56,CD8-Naive,H-56,71,H
CD8-Naive_H-57,CD8-Naive,H-57,54,H
CD8-Naive_H-59,CD8-Naive,H-59,20,H
CD8-Naive_H-61,CD8-Naive,H-61,12,H
CD8-Naive_H-62,CD8-Naive,H-62,44,H
CD8-Naive_H-63,CD8-Naive,H-63,68,H
CD8-Naive_H-64,CD8-Naive,H-64,27,H
CD8-Naive_H-65,CD8-Naive,H-65,18,H
CD8-Naive_H-66,CD8-Naive,H-66,21,H
CD8-Naive_H-68,CD8-Naive,H-68,9,H
CD8-Naive_H-69,CD8-Naive,H-69,53,H
CD8-Naive_H-7,CD8-Naive,H-7,19,H
CD8-Naive_T1D-1,CD8-Naive,T1D-1,9,T1D
CD8-Naive_T1D-102,CD8-Naive,T1D-102,5,T1D
CD8-Naive_T1D-104,CD8-Naive,T1D-104,54,T1D
CD8-Naive_T1D-106,CD8-Naive,T1D-106,17,T1D
CD8-Naive_T1D-118,CD8-Naive,T1D-118,69,T1D
CD8-Naive_T1D-12,CD8-Naive,T1D-12,110,T1D
CD8-Naive_T1D-121,CD8-Naive,T1D-121,36,T1D
CD8-Naive_T1D-124,CD8-Naive,T1D-124,62,T1D
CD8-Naive_T1D-127,CD8-Naive,T1D-127,83,T1D
CD8-Naive_T1D-129,CD8-Naive,T1D-129,15,T1D
CD8-Naive_T1D-132,CD8-Naive,T1D-132,18,T1D
CD8-Naive_T1D-135,CD8-Naive,T1D-135,31,T1D
CD8-Naive_T1D-137,CD8-Naive,T1D-137,57,T1D
CD8-Naive_T1D-139,CD8-Naive,T1D-139,33,T1D
CD8-Naive_T1D-14,CD8-Naive,T1D-14,59,T1D
CD8-Naive_T1D-140,CD8-Naive,T1D-140,12,T1D
CD8-Naive_T1D-141,CD8-Naive,T1D-141,15,T1D
CD8-Naive_T1D-15,CD8-Naive,T1D-15,33,T1D
CD8-Naive_T1D-153,CD8-Naive,T1D-153,18,T1D
CD8-Naive_T1D-156,CD8-Naive,T1D-156,73,T1D
CD8-Naive_T1D-158,CD8-Naive,T1D-158,109,T1D
CD8-Naive_T1D-170,CD8-Naive,T1D-170,129,T1D
CD8-Naive_T1D-174,CD8-Naive,T1D-174,17,T1D
CD8-Naive_T1D-2,CD8-Naive,T1D-2,22,T1D
CD8-Naive_T1D-21,CD8-Naive,T1D-21,16,T1D
CD8-Naive_T1D-25,CD8-Naive,T1D-25,81,T1D
CD8-Naive_T1D-28,CD8-Naive,T1D-28,33,T1D
CD8-Naive_T1D-29,CD8-Naive,T1D-29,198,T1D
CD8-Naive_T1D-37,CD8-Naive,T1D-37,79,T1D
CD8-Naive_T1D-39,CD8-Naive,T1D-39,74,T1D
CD8-Naive_T1D-42,CD8-Naive,T1D-42,137,T1D
CD8-Naive_T1D-44,CD8-Naive,T1D-44,33,T1D
CD8-Naive_T1D-52,CD8-Naive,T1D-52,130,T1D
CD8-Naive_T1D-61,CD8-Naive,T1D-61,72,T1D
CD8-Naive_T1D-73,CD8-Naive,T1D-73,10,T1D
CD8-Naive_T1D-79,CD8-Naive,T1D-79,71,T1D
CD8-Naive_T1D-8,CD8-Naive,T1D-8,26,T1D
CD8-Naive_T1D-82,CD8-Naive,T1D-82,152,T1D
CD8-Naive_T1D-86,CD8-Naive,T1D-86,152,T1D
CD8-Naive_T1D-87,CD8-Naive,T1D-87,97,T1D
CD8-Naive_T1D-88,CD8-Naive,T1D-88,22,T1D
CD8-Naive_T1D-93,CD8-Naive,T1D-93,47,T1D
CD8-Naive_T1D-96,CD8-Naive,T1D-96,71,T1D
CD8-Naive_T1D-97,CD8-Naive,T1D-97,7,T1D
CD8-Naive_T1D-98,CD8-Naive,T1D-98,34,T1D
