,C-Monocyte_H-1,C-Monocyte_H-10,C-Monocyte_H-11,C-Monocyte_H-13,C-Monocyte_H-16,C-Monocyte_H-18,C-Monocyte_H-23,C-Monocyte_H-25,C-Monocyte_H-26,C-Monocyte_H-27,C-Monocyte_H-33,C-Monocyte_H-36,C-Monocyte_H-37,C-Monocyte_H-4,C-Monocyte_H-40,C-Monocyte_H-43,C-Monocyte_H-45,C-Monocyte_H-49,C-Monocyte_H-55,C-Monocyte_H-56,C-Monocyte_H-57,C-Monocyte_H-59,C-Monocyte_H-62,C-Monocyte_H-63,C-Monocyte_H-65,C-Monocyte_H-66,C-Monocyte_H-68,C-Monocyte_H-7,C-Monocyte_T1D-1,C-Monocyte_T1D-102,C-Monocyte_T1D-104,C-Monocyte_T1D-106,C-Monocyte_T1D-118,C-Monocyte_T1D-12,C-Monocyte_T1D-121,C-Monocyte_T1D-124,C-Monocyte_T1D-127,C-Monocyte_T1D-129,C-Monocyte_T1D-132,C-Monocyte_T1D-135,C-Monocyte_T1D-137,C-Monocyte_T1D-139,C-Monocyte_T1D-14,C-Monocyte_T1D-140,C-Monocyte_T1D-141,C-Monocyte_T1D-142,C-Monocyte_T1D-15,C-Monocyte_T1D-153,C-Monocyte_T1D-156,C-Monocyte_T1D-158,C-Monocyte_T1D-170,C-Monocyte_T1D-174,C-Monocyte_T1D-2,C-Monocyte_T1D-21,C-Monocyte_T1D-25,C-Monocyte_T1D-28,C-Monocyte_T1D-29,C-Monocyte_T1D-37,C-Monocyte_T1D-39,C-Monocyte_T1D-42,C-Monocyte_T1D-44,C-Monocyte_T1D-52,C-Monocyte_T1D-61,C-Monocyte_T1D-73,C-Monocyte_T1D-79,C-Monocyte_T1D-8,C-Monocyte_T1D-82,C-Monocyte_T1D-86,C-Monocyte_T1D-87,C-Monocyte_T1D-88,C-Monocyte_T1D-93,C-Monocyte_T1D-96,C-Monocyte_T1D-97,C-Monocyte_T1D-98
MS4A6A,3.82595004370948,3.32138213164042,4.20066467653318,4.37964949408043,4.10784735581429,4.95765308017403,4.24244564240507,4.24352772352841,5.60794448124439,3.32866529034737,3.53838800474154,4.81007847278599,5.09988897958686,4.64443424066974,5.27068137149454,4.62127212345368,1.58920371181388,3.64147104238188,6.98828337089858,4.53295475823935,1.58920371181388,3.16685144070351,6.65532793731775,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,4.6777739778232,7.00016884858596,6.95079874450198,7.00242068598697,6.72976786798585,6.0198685320135,6.03294605993784,5.91118994286134,6.19821477598564,7.7651037208286,5.99510119447635,7.21418150970781,6.97032434160914,6.51753474678809,5.46174741048911,4.69608823765456,5.94338036879498,7.20573759035816,5.92601283595451,4.5368010531386,7.31806473681371,7.21319713913699,7.28213363902866,6.61969742594509,7.06083449515923,5.27943119703254,5.95026981325667,6.00713582980241,4.442805551475,5.6620926182078,4.62582371932663,5.20484724754463,6.02533145899537,3.42768311491307,6.23494533958607,5.14160784923152,3.4468858742555,4.00497519301225,3.92141397853864,4.7242884967089,4.94396537532279,7.24721751431425,5.56939742273038,6.7442369596572,6.76848512785997,6.76405958526588,6.71133048263871
TBXAS1,2.78819700304398,1.58920371181388,2.7507283807415,3.00997991455588,3.03100450468236,3.75897803468497,2.90420532050642,3.55397502287326,3.21712750327131,1.58920371181388,3.01588520391305,3.42844816057101,3.80861809930258,3.34239857688065,3.22805438086806,4.01574426455031,1.58920371181388,2.72415151813157,4.41544081974161,3.40628359735528,1.58920371181388,2.97114583699115,1.58920371181388,3.4688420596314,1.58920371181388,1.58920371181388,1.58920371181388,2.86045643608119,4.34106982480851,4.29633319687573,4.96091408528757,4.22179992936518,4.42407775979364,4.02665650455614,3.97228424355765,4.49173286831506,3.65465990511285,3.85468539939167,4.88094387376875,3.62158731776601,4.46720907335315,4.03531722409223,3.48072566343756,3.61307132992843,4.29534845957574,3.33865128170725,2.89495755638496,4.88721922639714,4.64065574323193,4.7794174861391,4.08343950531334,4.60864182893896,3.27742393315865,4.07969310269844,3.67840070938348,3.21606971545452,3.42992340774495,3.16596908497586,3.38031509138564,3.51921921123556,4.05676866380491,6.23494533958607,3.39019402909761,3.80161076311684,3.01387381602046,3.02694818232068,3.19904507781651,3.43838373688172,4.47446510871331,3.83913305039544,4.24952542210811,4.71569545422024,4.61711259939218,4.42762146046028
MPEG1,3.56752172488637,3.32138213164042,3.43857155582852,3.83739732318576,3.86126890365996,3.80198003802506,1.58920371181388,3.79648715728943,4.31288817012863,3.32866529034737,4.63188583833546,3.58118897050647,3.56024743949555,3.72441565706631,4.27572345841385,3.03792856399001,5.19614394844274,3.92824002603761,5.71790704014558,3.21272697879735,1.58920371181388,3.84003557890617,1.58920371181388,3.4688420596314,1.58920371181388,1.58920371181388,1.58920371181388,4.60470387038001,5.26580440024452,5.62792279518403,5.72075104865537,5.61416232919217,5.21372478871039,4.56656549029761,5.04831890444057,5.3811623620636,6.16082659145153,5.08063665664365,6.26987311248868,5.58458102434703,5.55367551582013,4.03531722409223,4.0161827720556,4.99217152809342,5.86334037244455,3.94655237560069,4.1553175925935,5.72849685933146,5.92675247135761,5.80092843137807,5.48718370892662,6.12856226071003,4.54284691642501,4.71044073966716,4.42492270678916,3.3549835720174,4.39130633260863,4.45059546508717,3.64049685124094,5.07972452237866,4.48320770222282,6.23494533958607,3.57545820522317,1.58920371181388,4.00497519301225,3.40154964419494,5.05073441640767,4.98170825141462,6.00376156640212,4.55370321363502,5.5915267131968,5.92055394540778,5.83770382354326,5.74466015506416
PARVG,3.24215223028255,1.58920371181388,2.99431134260701,3.12358106217423,3.46921837064341,3.66847057566421,3.39394718924561,3.44237879741223,4.06122144644353,3.93412763354864,4.19243929526025,3.91713036580965,3.59404515220518,3.44936489241201,3.71149111018778,3.19384295371225,1.58920371181388,3.15759098379748,4.72076674821531,3.49262307705789,1.58920371181388,3.16685144070351,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,3.12366788561332,4.81714416727481,4.68914841544233,4.80204401166394,4.74765967941468,4.67836440689385,4.45007240700193,4.32174568225611,4.55897956862615,5.83097988748407,4.17378641579716,4.88094387376875,4.74192478214022,4.93634823746835,5.04751132889513,2.48267458495073,3.96201864299128,4.98590373930792,4.36167799061676,2.66688039757035,5.0122409129941,4.90817295358087,5.04409285284712,4.31462254953439,4.98719727509105,4.08883915396646,4.17921833095544,3.9073265613687,4.19135671984628,4.05952916945941,3.09178401535482,3.80584721822844,3.88365794098294,3.42768311491307,6.23494533958607,3.60384593125953,3.4468858742555,2.61620919443272,3.2291885643314,2.86036970400387,3.54979861061749,4.61087828219948,3.83913305039544,4.90757934985127,4.88484149641135,4.8214971556361,4.70443402423907
CD63,7.68294418741424,8.25911480299532,7.69446729107603,7.46983125789887,8.04694995379503,7.48787054486819,8.71781962378259,7.84906310870837,8.12858575602635,7.11965547309746,8.50497626864713,7.03920457850031,7.2385615899536,7.39203137987674,7.40262903643845,7.45777927060913,8.78891907577712,8.86814784332077,6.77949677645264,7.74447167395099,9.49344057633609,7.95550961534662,8.18288071941622,9.38702104478424,8.14455140772398,9.8597766504344,10.3340109636617,7.60964796292424,6.84687475808822,6.55705039393235,6.73778357348706,6.75951511126602,7.17720844061727,7.00851044586358,6.86372330897447,6.80030804037102,5.83097988748407,6.84075208179377,6.96254163113096,6.70459858656177,6.90621214008396,6.77846539945023,7.51949752626808,7.30006055486149,6.42597531514389,6.85552988305022,7.71392548503948,6.68967479547928,6.42145811530109,6.59814841510838,6.18870097685002,6.66045899819045,7.25532334839276,6.97808035669882,6.78828303376014,6.31901050088685,7.29600280683709,7.82088122047808,7.51235587614188,6.99520598175912,8.50534845877781,7.17790345124376,6.93193055632544,7.83890364459408,7.54066386755474,7.91061018787954,8.38357469575498,8.45256592102881,7.07226555517232,7.72307229278713,6.58262529481019,6.43155206831592,6.51911110876484,6.52623052245855
LGALS2,5.99603652726867,5.77331486135889,4.92674344405736,3.64129331023834,6.407564373954,4.93925753095035,2.90420532050642,6.07058582325673,5.11976872818852,3.93412763354864,4.63188583833546,5.9399897140495,4.23972254386063,4.55789946453001,4.40163699308493,3.5667011789725,1.58920371181388,3.92824002603761,7.18407094599252,5.58880353970644,1.58920371181388,6.01017020716634,1.58920371181388,3.4688420596314,1.58920371181388,3.97252418002236,1.58920371181388,5.15623193311496,7.24240993107465,7.10298915008139,7.09169556077134,4.97558945515748,6.75597071407295,7.12514412396695,7.5002992656644,6.99199848192486,7.61209394066259,7.10370480424925,4.88094387376875,7.12364583107123,6.47986408629394,6.91549695774036,5.53383781634065,5.79265262795998,7.07996684118492,5.92601283595451,5.82916831675183,7.29657256678966,7.32920229788273,6.62205983191311,4.39411339351713,6.16470476617362,5.46755198012031,7.24942591983228,6.6225115221885,6.70749508340071,3.78232107623759,5.71832432797985,6.10985183780279,5.43404318375273,3.42768311491307,7.17790345124376,5.73211426295274,5.42523608850045,4.53097629527229,5.7098444839558,5.53944019128776,5.18923319125056,5.2222286851703,7.06500492509769,7.46567977805518,5.19248234128376,6.73687247575874,6.93720732000106
SKAP2,1.58920371181388,2.84857801590634,2.42130676555135,2.35259180789054,2.72362544753853,3.08012845286194,2.90420532050642,2.62678065541192,2.81876176519709,3.32866529034737,1.58920371181388,2.58475364034212,3.29391576539509,2.94690178593519,3.06935487273925,2.85611670070026,1.58920371181388,2.25555528957182,5.09147631400196,2.68266476089537,1.58920371181388,2.73114557110259,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,2.50217033544519,4.87791942709048,4.70804261910612,4.30220324088341,4.5907866814502,4.11237635786028,4.1828024133236,3.85887373125906,4.49173286831506,5.40187685548786,3.63448627305506,4.88094387376875,3.62158731776601,4.70667422393181,4.03531722409223,3.30239094968585,3.41664167563363,4.92393246696273,3.94655237560069,3.08152388454432,4.81266775998012,4.95856458806336,4.73232707426457,4.60845271628728,4.83721278126113,2.99174602025518,3.79297174550726,3.52679338543111,3.47959280684504,3.42992340774495,2.32207292202213,3.04854426512748,3.51921921123556,1.58920371181388,1.58920371181388,2.79344222639361,2.94498782352197,2.19038581138896,3.40154964419494,1.58920371181388,2.62434898005549,5.05329299796137,3.47992863072909,4.82786746011641,4.67517786987451,4.62260215341282,4.59818708636953
IGSF6,2.78819700304398,1.58920371181388,3.09790180475727,3.40964626736909,3.64061144809735,3.40941871235834,3.7413466207858,3.499420178023,3.87629468981599,3.32866529034737,4.63188583833546,3.42844816057101,3.80861809930258,3.09456806190922,3.22805438086806,2.33602030275901,1.58920371181388,2.88934056750734,5.84792025847622,3.31340502808929,1.58920371181388,2.73114557110259,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,3.33691186158612,5.43625393060159,4.57010229719306,4.84717420569207,5.36276054265854,4.7464401448194,5.50942829570553,4.26450199757191,4.55897956862615,5.12677052085773,4.4756235416287,4.88094387376875,5.35502996624894,4.97326860686714,4.45960779331697,3.48072566343756,3.6838508786445,5.34163819453205,3.94655237560069,4.07999394805573,5.66261822040301,5.54788410568709,5.43917114373309,5.04846672787485,5.2800861825911,3.94709462027475,4.42062807721068,4.56169216213759,3.69687372343326,3.42992340774495,3.85963513509018,3.38031509138564,3.00098979878622,4.48320770222282,1.58920371181388,3.63161588219829,1.58920371181388,2.76728113779238,3.2291885643314,4.47357456108442,3.74700278414723,5.50209397996225,4.72819570207144,5.27032899738064,5.30747891248503,5.04940180840205,4.75916721221478
CKLF,4.2846750880082,4.14707806028777,3.92574591963189,4.87171989013458,3.86126890365996,4.76194160852951,4.4373677138771,4.62877477838443,5.07040531828874,1.58920371181388,4.96574563168961,4.90382767465364,4.7346957863826,4.36682935600459,4.8592688447398,4.35148068684186,4.09346803721991,3.55864855918511,5.6019960568315,4.64338506345856,1.58920371181388,4.42499714963234,1.58920371181388,1.58920371181388,1.58920371181388,3.97252418002236,1.58920371181388,4.44599491563963,6.13693235127212,6.28607158797312,5.90133148084396,5.96665869313864,5.62583027802038,5.61994895144255,5.46508737560668,5.26652436665577,6.00535111682317,5.25517719530849,5.73762486303237,5.78235248178985,5.6323031153332,4.45960779331697,4.47836992981215,4.95181967182204,6.18517692903043,5.34880299647779,4.5368010531386,5.99240434284964,6.07012515705712,5.95393722817613,5.69877346453847,6.32230631441085,4.72411506075254,5.66293948588641,5.50391593764437,4.605359779789,4.17928573650114,4.62582371932663,4.54463663006638,5.07972452237866,5.29618686226964,6.23494533958607,4.68109037394617,4.31142494030959,4.3128203467693,3.92141397853864,4.62932236551699,4.54927915944503,6.09827827967886,2.9705300403515,5.83132688746285,5.91368110174633,5.69568930867601,5.85657970717002
ASGR1,3.11055386819694,1.58920371181388,3.09790180475727,3.12358106217423,2.52311111927158,3.46568242439382,2.90420532050642,3.55397502287326,3.66129241702774,1.58920371181388,1.58920371181388,3.18973696558144,3.20567539866057,3.09456806190922,3.60695420654955,2.63419883927775,3.70554821128777,2.88934056750734,5.58851831626372,3.31340502808929,1.58920371181388,3.16685144070351,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,3.12366788561332,5.39551148532228,4.98025798119851,4.98797574008824,5.11305183118845,4.81137321403313,4.02665650455614,4.87066128518209,4.62313600394408,5.83097988748407,4.32501275209075,4.88094387376875,4.29342537572034,5.18711899063235,5.26962914200322,2.48267458495073,4.06914874358767,5.63896288844694,5.15894564019685,3.24129317390389,5.27822112864453,5.15474454451296,5.23384128894479,4.88417613962879,5.25785433336279,4.33444902975442,4.57303670520127,4.56169216213759,3.59286373275153,4.17928573650114,3.36380349356365,2.83661005581381,3.51921921123556,3.42768311491307,1.58920371181388,3.24905388730484,2.94498782352197,2.89790114335307,1.58920371181388,2.63777479681601,2.84439802057173,5.23156800994589,3.47992863072909,4.73367154542065,5.06112883941455,5.19911451859844,4.85429915778523
