,NK_H-1,NK_H-10,NK_H-11,NK_H-13,NK_H-16,NK_H-18,NK_H-23,NK_H-25,NK_H-26,NK_H-27,NK_H-33,NK_H-36,NK_H-37,NK_H-4,NK_H-40,NK_H-43,NK_H-45,NK_H-49,NK_H-55,NK_H-56,NK_H-57,NK_H-59,NK_H-61,NK_H-62,NK_H-63,NK_H-64,NK_H-65,NK_H-66,NK_H-68,NK_H-69,NK_H-7,NK_T1D-1,NK_T1D-102,NK_T1D-104,NK_T1D-106,NK_T1D-118,NK_T1D-12,NK_T1D-121,NK_T1D-124,NK_T1D-127,NK_T1D-129,NK_T1D-132,NK_T1D-135,NK_T1D-137,NK_T1D-139,NK_T1D-14,NK_T1D-140,NK_T1D-141,NK_T1D-142,NK_T1D-15,NK_T1D-153,NK_T1D-156,NK_T1D-158,NK_T1D-170,NK_T1D-174,NK_T1D-2,NK_T1D-21,NK_T1D-25,NK_T1D-28,NK_T1D-29,NK_T1D-37,NK_T1D-39,NK_T1D-42,NK_T1D-44,NK_T1D-52,NK_T1D-61,NK_T1D-73,NK_T1D-79,NK_T1D-8,NK_T1D-82,NK_T1D-86,NK_T1D-87,NK_T1D-88,NK_T1D-93,NK_T1D-96,NK_T1D-97,NK_T1D-98
EPB41L4A-AS1,5.37209990849778,5.78790440846123,6.03344961917792,5.84140667574559,5.17207907573672,5.00976171969865,6.00198926572161,5.13298884621403,4.86724228830788,5.39282561688232,5.68195985366594,5.05714328698599,5.10649249456998,5.14946211729518,4.52274996387599,5.2168857486786,5.74519723647519,6.03192276696092,4.34029562513739,6.05414794200886,6.96828948678398,5.72038037484953,6.06838532603791,6.96365644069607,6.46454917974859,6.14477494500614,6.42344353616312,6.74792091802374,6.3789757592272,6.325258149835,6.11636986105572,4.20946359700658,4.4042789116908,4.48343110392097,4.38633946500357,4.50313350945515,4.99208390374147,4.58672271485846,4.90866871797134,3.85700181780998,4.58635193687645,4.00835700797493,4.56285655026922,4.30897568687135,4.7453632476689,5.44049477496564,4.87408615087825,4.14602260985228,4.13988274659647,6.05921356028114,4.46892319922993,3.91367565964878,4.46813773756412,4.5979024380146,4.65038223310302,4.95464244140117,4.37617265520708,3.92757963772492,4.61567979203782,4.8707939062411,5.19676801304518,5.28544617539098,5.57131816598668,5.94614936308856,5.23067796382129,5.124458506648,5.18281331177659,5.75679273380428,5.41071530092478,5.15361425837158,5.30631916677186,3.9661139635021,5.3082783247393,4.15775755267213,3.82192568998036,4.70152910757728,4.43333253258534
UBA7,2.29872772789102,1.35178087483051,2.66988770260272,1.35178087483051,2.49812287006163,2.61959016649154,2.09214771086565,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,2.44407255376754,2.23046409089252,1.94439903280099,2.91531931626899,1.35178087483051,1.35178087483051,2.35537021917787,2.38474781764199,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,3.51189150953043,2.38457952184843,2.28864334101747,2.51535353739002,2.40748476693498,2.31107992843734,2.35313205819534,2.58815301969081,2.91001624840094,2.48532401741099,3.21503048199989,2.48564638895874,2.43390943558395,2.78794053973493,2.48996606453048,2.47590143174169,2.8205051497999,3.4537858593447,3.21271774909246,3.26730251833234,2.61348275470368,3.00046918287614,3.08581668326434,3.23531631380257,2.40140748481484,2.63582751519823,2.95990658304004,2.68589401698889,2.46275281258517,2.18248789074097,2.19473677434739,3.20759894314087,1.35178087483051,1.35178087483051,2.54263200966246,1.35178087483051,2.20048159874263,2.47744461558676,2.99844978130049,2.3632526653392,2.83947364808525,1.35178087483051,2.6106821659515,2.61408568124277,2.7501834914831,2.13145865408249
SKAP2,1.35178087483051,1.35178087483051,1.35178087483051,2.17703068818776,1.35178087483051,2.32285581011776,1.35178087483051,1.35178087483051,2.9689071534177,1.35178087483051,2.46569517600972,1.35178087483051,2.71175814629056,2.64274734169236,2.16169736681934,1.35178087483051,1.35178087483051,1.35178087483051,3.6404509488892,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,2.25940162033257,1.35178087483051,4.06563747920016,3.72869123297302,3.19032555464101,3.1587941729576,3.17413288527236,2.31107992843734,2.89272821775752,3.05383338524593,4.15811377490653,2.86610176797935,3.21503048199989,3.40227964387398,3.27780197761877,2.20320124167655,1.35178087483051,2.47590143174169,4.08473124341147,1.35178087483051,1.35178087483051,3.57599193253708,3.69142716067257,3.58317513333276,3.51824302668486,3.35367245465285,2.80669208847286,3.11619473277865,3.53209801067414,3.33349778949046,2.7646055181425,1.35178087483051,2.7743456501323,2.22667688686806,2.84379853139357,1.35178087483051,2.00104989663107,1.35178087483051,2.53588941958255,2.47744461558676,2.00295979181061,2.3632526653392,3.3450925933115,3.73172682189554,2.94661621992698,3.11181709316822,3.03517024673439,3.5779726406503
UCP2,3.78112683311802,1.35178087483051,3.16056294678602,3.34850986406365,3.04959337596369,3.59322158274472,3.83455901582539,3.31244653652975,4.15219130683026,1.35178087483051,3.83176421337998,3.40990070151074,3.79826525915322,3.5832391788569,3.58410644192652,2.30375534573623,2.90246347196814,3.90249610857388,5.45255370806228,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,2.98204145053969,1.35178087483051,3.42116607571642,1.35178087483051,1.35178087483051,2.61580309892579,2.83079552819467,5.47517377982734,4.37246706144336,5.41179534873201,5.02632143404537,5.24006084908112,4.0368746088437,3.76373318937032,4.26360432621355,5.39591732649303,4.41843555429566,5.70542668912348,3.75177615509596,4.25215647625614,3.78473112763919,2.9244553841356,3.60573013658705,5.5015826836834,5.44749043043019,3.66754935019877,6.14740839456505,5.22930193982613,5.26089775617716,5.42234780246176,5.74892281549835,3.78747131734681,4.24870584597485,4.4841697806555,4.49953604924263,4.0325380789813,3.4644331038571,3.55090453074036,2.57146820313571,2.84379853139357,4.15260507921826,3.57505448941242,3.63574706610911,3.44206028153468,3.21837675832807,2.7632790633552,3.55296864869597,5.03180870421498,4.14922802670021,5.03780552784023,5.31509431082362,4.10881552186558,4.75553917155763
RPS6KA1,2.66891327218619,1.35178087483051,1.35178087483051,2.50397146807751,2.29565871681545,2.84832789417467,2.7886844497142,1.35178087483051,2.52359337291192,1.35178087483051,1.35178087483051,1.35178087483051,2.64639562408329,2.36453426742854,2.72110954070016,2.30375534573623,1.35178087483051,2.35537021917787,3.8120992341314,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,3.07884956749521,1.35178087483051,1.35178087483051,4.13941896034895,2.98582452096049,2.79794394405561,3.48287413446757,2.27095697077038,2.6855565474952,3.53362740419289,2.23898149885123,3.73977367143543,3.26916742900098,4.00835700797493,2.65069617201422,3.39265174153086,2.78794053973493,2.9244553841356,2.01157024344389,4.14602260985228,4.13988274659647,2.47375516307373,3.51986603296871,3.42450323060749,3.9845155123763,3.32045669508472,3.87474444648105,2.10197620611517,2.94752996596796,2.95990658304004,3.75752311800478,2.26608770922535,2.51140457791134,1.35178087483051,2.22667688686806,3.3846966437734,1.35178087483051,2.62006801914437,1.35178087483051,2.53588941958255,2.90786581521238,3.10027365074029,2.9075307145171,3.65119538633671,3.119416541125,3.51531571923511,2.81597922021386,3.11652090963025,3.330231239417
NDUFA11,3.50708324531398,3.19882425991552,4.01030262043855,3.1112684134315,3.15391308016485,4.03686106285643,3.59987948211916,3.96900154359914,4.49829946758459,3.8620176725226,3.65305032072191,4.01878710452356,3.8746508319182,4.04455500693977,3.47570411484073,3.66166239956426,2.90246347196814,3.61923952213009,5.2129232821663,1.35178087483051,1.35178087483051,3.50475461943129,1.35178087483051,1.35178087483051,2.98204145053969,1.35178087483051,4.55298950069956,1.35178087483051,1.35178087483051,2.25940162033257,3.36807794093626,5.09286412783695,4.43538461074038,5.24086340339849,5.01062602595575,5.01822954015606,4.55817557948972,4.18454934801387,4.64462798728569,4.95987982108987,4.48184010139672,5.09638434025253,4.34131579040341,4.69580890827,4.34622965703614,3.23755551598817,4.43577228601861,5.16596553985182,4.13988274659647,2.47375516307373,4.799045831804,5.08867796954703,4.38391979507615,4.64707534103397,4.92662865102584,3.86174274843387,4.49299270296517,4.40551923934499,4.11932628671447,4.64276721795234,3.684991843133,3.29567035186137,3.84069436558386,3.3846966437734,3.95961120080334,3.76141599268839,4.3565295493681,3.30753705020707,4.01262852234565,4.20967027505999,4.09919959928349,4.80179711677363,4.72988200324308,5.1120530857238,5.2472258761133,4.60133059929353,4.99485833334966
CST7,5.92693677483356,5.51258382458175,5.33369323007062,5.52838791981125,6.08394444757631,6.381441968772,5.69201512086463,5.2420829748816,6.77321042743299,4.88726349114062,5.54006251383648,5.24487201247151,6.52633844116741,6.44521991988561,5.65506596651002,4.97259005385,5.22369885035463,5.52685121935436,7.83431461945645,4.8806811689192,4.85360548746281,5.00825828323981,1.35178087483051,4.84956329325201,5.48509160047514,4.56147583567591,5.77374872940924,3.80218536062741,5.65101945527259,5.60926282682075,5.81220341236794,7.03740373123265,7.01912990217514,7.84521674115846,7.61772483127758,7.23984498698012,6.80187865181504,6.79783044006654,6.97806335437037,7.29427006250207,7.0448224017499,7.69275690367731,6.5977613036605,7.20936872799262,6.3716148445505,5.54789257455599,6.51410683956072,7.70205397515001,6.757509689774,5.40189773270352,7.63823269864833,7.39803834565652,7.43751836217337,7.31540812652594,7.49566223021796,6.35682653550764,7.07239333574071,6.42352616472388,6.94937366807478,6.47184037272984,5.81530442115002,5.92064036081672,5.78945113743271,4.05664583083416,6.17838981892954,5.55528375699824,5.70255279558059,6.1387697127915,5.61754718288859,6.39841845974885,6.28911271391883,7.68087948140246,6.58616609668742,7.62622394511025,7.7434510606932,7.41729955028042,7.92397644741539
TRBC2,4.59748568660695,4.43007351228079,4.29359461223673,4.16178685546975,4.36715089725156,4.91178267212308,5.01725297725892,3.96900154359914,5.18366496937653,4.09408514823732,4.67991391764341,4.33081343313361,4.79782550202139,4.5879866342789,4.35580033602443,3.16810546782919,2.90246347196814,4.02462242596192,6.11858546816972,4.08829629325033,1.35178087483051,5.00825828323981,3.90888420868935,3.05537917930931,4.51886002293002,3.8106702105616,4.10065217858014,3.1763450623499,3.68126762461435,3.27037763695179,4.27778100914933,5.70701567528053,5.78214223662352,6.13378286991848,6.14760856429238,5.7717341625873,5.1911636595042,5.61830867460026,5.50141566262299,5.97542974005467,5.49177730913087,6.70494958042818,5.31424227999918,5.53414466648567,5.17131510400474,4.18003905176866,4.54182644179392,6.60365376471282,5.97783539153377,3.21271774909246,6.08421921949108,6.2294660720908,6.19120304656246,6.03037751092221,6.04572103110856,4.74099087399604,5.57631469177528,6.09276430344894,5.75964602216924,4.94766835286366,4.44408125621885,3.66193356367134,4.6535356469071,4.05664583083416,4.47294924930946,4.16051498421163,4.82902477372349,4.46473266986754,4.40182347589471,4.75894165342512,4.4458439474132,5.89412069804963,4.94982273895167,6.19616989957613,6.20134230374925,5.76092579616027,6.29639224666961
HCST,5.33168468450639,4.43007351228079,5.06374791565694,4.97728407680524,5.44103535780107,6.07557603053327,5.55074652053465,5.72740578714232,6.33814492568977,4.760400750968,5.43701109181349,6.06921983844276,6.10777218451078,6.1753801396478,5.99160061693936,5.73809423531468,4.94686612403632,5.16103241899787,7.32146374839884,4.08829629325033,4.85360548746281,4.66154002339152,1.35178087483051,4.63241199295841,4.51886002293002,3.18322287303297,4.55298950069956,4.81526964520308,3.07884956749521,4.95382962175728,4.57582691241448,7.29597124589829,6.60571625416281,7.03353349826648,7.18918825377846,7.08520063179782,7.08926453045383,6.33140643443696,6.81526920529597,7.37248558983652,6.56358238325198,7.33372445019323,6.48638409035013,7.11070490186035,6.41870981655599,5.49519923734979,6.25125925675067,7.92800417255356,7.37712874935162,4.86922474297812,7.39614783430438,7.14592486077041,7.02266803293503,7.21410301160799,7.09724546598179,6.21308469927987,6.74067256677348,7.15057374502948,6.88217212385724,6.59567004972556,4.95370942790158,5.21724148652598,5.12589824098765,4.29888803483573,6.41758851820754,6.08386442921529,4.3565295493681,5.00776895430808,5.71075831326835,5.56301683493169,5.73696268454737,7.20475892771444,5.14027270127932,7.06321655520357,7.26594817972124,6.68781032104084,6.98867340912268
TRGC1,2.94010339975175,1.35178087483051,2.94124580831722,2.74584972095347,2.02504457059454,2.97816404971773,2.94354285112677,1.35178087483051,3.19122794422067,1.35178087483051,1.35178087483051,3.61398803877032,2.77332912790682,2.36453426742854,2.16169736681934,2.94804669465816,1.35178087483051,2.74507951373729,4.02080112319975,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,2.98204145053969,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,2.25940162033257,1.35178087483051,4.40064214117116,4.30658714750805,4.34979967483867,3.81808334711148,3.63679447100063,3.18092199207334,3.35421257970315,2.90100972064706,4.67882471995251,3.44674611549017,5.22815382703799,3.48003297994191,3.77132461426838,2.98999720312186,3.48728070487242,3.21601021151898,4.2047141204444,1.35178087483051,2.47375516307373,4.799045831804,3.91367565964878,3.9845155123763,3.75286428001532,4.23036214883436,2.80669208847286,3.26420090338771,2.68581209421477,3.33349778949046,2.26608770922535,2.8580913896418,2.52807618353121,3.03193755476292,2.84379853139357,1.35178087483051,2.36603404867908,1.35178087483051,3.15693469064843,2.47744461558676,2.62363412592556,2.75564755234499,4.07015236574274,3.73172682189554,3.72649675203334,3.61463546056469,3.91055240492794,4.3443661591529
