cluster_sample_id,cluster_id,sample_id,cell_count,Group
NK_H-1,NK,H-1,52,H
NK_H-10,NK,H-10,27,H
NK_H-11,NK,H-11,50,H
NK_H-13,NK,H-13,219,H
NK_H-16,NK,H-16,110,H
NK_H-18,NK,H-18,189,H
NK_H-23,NK,H-23,113,H
NK_H-25,NK,H-25,43,H
NK_H-26,NK,H-26,90,H
NK_H-27,NK,H-27,24,H
NK_H-33,NK,H-33,43,H
NK_H-36,NK,H-36,72,H
NK_H-37,NK,H-37,242,H
NK_H-4,NK,H-4,138,H
NK_H-40,NK,H-40,91,H
NK_H-43,NK,H-43,64,H
NK_H-45,NK,H-45,22,H
NK_H-49,NK,H-49,48,H
NK_H-55,NK,H-55,375,H
NK_H-56,NK,H-56,5,H
NK_H-57,NK,H-57,2,H
NK_H-59,NK,H-59,8,H
NK_H-61,NK,H-61,6,H
NK_H-62,NK,H-62,17,H
NK_H-63,NK,H-63,16,H
NK_H-64,NK,H-64,14,H
NK_H-65,NK,H-65,14,H
NK_H-66,NK,H-66,14,H
NK_H-68,NK,H-68,16,H
NK_H-69,NK,H-69,77,H
NK_H-7,NK,H-7,43,H
NK_T1D-1,NK,T1D-1,62,T1D
NK_T1D-102,NK,T1D-102,118,T1D
NK_T1D-104,NK,T1D-104,155,T1D
NK_T1D-106,NK,T1D-106,159,T1D
NK_T1D-118,NK,T1D-118,136,T1D
NK_T1D-12,NK,T1D-12,49,T1D
NK_T1D-121,NK,T1D-121,72,T1D
NK_T1D-124,NK,T1D-124,204,T1D
NK_T1D-127,NK,T1D-127,63,T1D
NK_T1D-129,NK,T1D-129,215,T1D
NK_T1D-132,NK,T1D-132,43,T1D
NK_T1D-135,NK,T1D-135,109,T1D
NK_T1D-137,NK,T1D-137,66,T1D
NK_T1D-139,NK,T1D-139,66,T1D
NK_T1D-14,NK,T1D-14,29,T1D
NK_T1D-140,NK,T1D-140,98,T1D
NK_T1D-141,NK,T1D-141,85,T1D
NK_T1D-142,NK,T1D-142,10,T1D
NK_T1D-15,NK,T1D-15,40,T1D
NK_T1D-153,NK,T1D-153,139,T1D
NK_T1D-156,NK,T1D-156,89,T1D
NK_T1D-158,NK,T1D-158,47,T1D
NK_T1D-170,NK,T1D-170,191,T1D
NK_T1D-174,NK,T1D-174,211,T1D
NK_T1D-2,NK,T1D-2,77,T1D
NK_T1D-21,NK,T1D-21,145,T1D
NK_T1D-25,NK,T1D-25,52,T1D
NK_T1D-28,NK,T1D-28,133,T1D
NK_T1D-29,NK,T1D-29,101,T1D
NK_T1D-37,NK,T1D-37,130,T1D
NK_T1D-39,NK,T1D-39,55,T1D
NK_T1D-42,NK,T1D-42,64,T1D
NK_T1D-44,NK,T1D-44,23,T1D
NK_T1D-52,NK,T1D-52,28,T1D
NK_T1D-61,NK,T1D-61,222,T1D
NK_T1D-73,NK,T1D-73,10,T1D
NK_T1D-79,NK,T1D-79,73,T1D
NK_T1D-8,NK,T1D-8,40,T1D
NK_T1D-82,NK,T1D-82,109,T1D
NK_T1D-86,NK,T1D-86,89,T1D
NK_T1D-87,NK,T1D-87,252,T1D
NK_T1D-88,NK,T1D-88,11,T1D
NK_T1D-93,NK,T1D-93,164,T1D
NK_T1D-96,NK,T1D-96,330,T1D
NK_T1D-97,NK,T1D-97,134,T1D
NK_T1D-98,NK,T1D-98,235,T1D
