,T-reg_H-1,T-reg_H-10,T-reg_H-11,T-reg_H-13,T-reg_H-16,T-reg_H-18,T-reg_H-23,T-reg_H-25,T-reg_H-26,T-reg_H-27,T-reg_H-33,T-reg_H-36,T-reg_H-37,T-reg_H-4,T-reg_H-40,T-reg_H-43,T-reg_H-45,T-reg_H-49,T-reg_H-55,T-reg_H-56,T-reg_H-57,T-reg_H-59,T-reg_H-61,T-reg_H-62,T-reg_H-63,T-reg_H-64,T-reg_H-65,T-reg_H-66,T-reg_H-68,T-reg_H-69,T-reg_H-7,T-reg_T1D-1,T-reg_T1D-102,T-reg_T1D-104,T-reg_T1D-106,T-reg_T1D-118,T-reg_T1D-12,T-reg_T1D-121,T-reg_T1D-124,T-reg_T1D-127,T-reg_T1D-129,T-reg_T1D-132,T-reg_T1D-135,T-reg_T1D-137,T-reg_T1D-139,T-reg_T1D-14,T-reg_T1D-140,T-reg_T1D-141,T-reg_T1D-15,T-reg_T1D-153,T-reg_T1D-156,T-reg_T1D-158,T-reg_T1D-170,T-reg_T1D-174,T-reg_T1D-2,T-reg_T1D-21,T-reg_T1D-25,T-reg_T1D-28,T-reg_T1D-29,T-reg_T1D-37,T-reg_T1D-39,T-reg_T1D-42,T-reg_T1D-44,T-reg_T1D-52,T-reg_T1D-61,T-reg_T1D-73,T-reg_T1D-79,T-reg_T1D-8,T-reg_T1D-82,T-reg_T1D-86,T-reg_T1D-87,T-reg_T1D-88,T-reg_T1D-93,T-reg_T1D-96,T-reg_T1D-97,T-reg_T1D-98
CD3E,4.28326306311345,3.96401311584198,4.27591427407581,3.9594848097166,3.78717719238622,3.77575087437843,3.88220007562924,3.47625352129361,4.4913778916506,4.43605018345323,3.30529329936846,4.62349001554061,4.53845109268764,4.46610966845143,4.46337460875297,4.35307429606197,3.27406083457956,3.73001570856945,5.19467897165592,3.49795675473352,2.94661693449757,3.54050667632449,3.31815182871046,3.23951454361046,3.39364002919688,2.83069328515247,3.31740903963433,3.39354197262674,3.17711328073874,3.67525908536652,3.51127492953124,5.21586606173169,5.27578445732603,5.16218164860911,5.25572771666706,4.90744696468604,5.09056524027951,4.97788541164173,5.29350449677558,5.31669168713565,4.79531430239399,5.66470556980402,4.28926171342303,5.02881911351138,4.05556178980002,3.41320029928984,4.78998054804661,5.14050118524835,4.31637782374974,5.66980504346501,5.24754750064568,6.07461551815357,5.1750841695605,5.7172942579495,4.14413620643387,4.7805387643225,4.42248757008586,4.68164252092896,4.67405342103087,4.638331747894,4.60710499631184,4.41833683804552,4.06003317347837,4.83828706412707,4.6665021823276,4.55218297395478,3.82221202286489,4.16508829033519,3.4283983144836,3.84718245867674,5.07532591301819,3.78133581070417,5.34707233672304,5.56245448715728,4.99931154080529,5.62006440396585
EVL,3.21896773727332,2.97049916072999,3.8141903272963,3.68933001361983,3.53121670143304,3.92168469257623,3.57578555298203,3.72702627457928,3.6686229790516,3.95408851038012,3.69911931552592,4.03691943374569,3.78323128701667,3.58073176724516,4.59432743060787,4.02340628770662,3.4508886745241,3.73001570856945,5.91504776236321,3.64199513252491,3.22633581936901,2.68318848375355,4.18633733361235,2.83434218089745,3.39364002919688,2.83069328515247,3.18027960193488,3.45876793237488,3.17711328073874,3.67525908536652,3.76536845870982,4.81291157158064,4.60506503854212,5.13896661899665,5.18344721987795,4.9164364471604,4.55161158852766,4.08975307281802,4.68063430910245,5.45574266341159,5.05957143424235,5.90061747805069,4.9516672793981,4.57458271699375,4.05556178980002,3.71993558890374,4.10407240470861,5.14050118524835,4.89076203839014,5.92978658114052,5.91911643054182,5.74644800033983,4.59159471036413,5.66588952857079,3.61154698199489,5.37458901683535,4.31969945941524,4.68164252092896,4.54856821409965,3.70098262727893,3.88284848197991,4.62066419273583,3.61745931776804,4.59573202018987,4.41788085655425,3.72711060227444,3.82221202286489,3.40394056211986,4.7393625776117,3.84718245867674,5.4858165208542,3.61678463324566,5.39086925654727,5.50546353072845,5.35075456201784,5.36855788515973
ARHGDIB,5.02389441958692,4.94907174732067,5.68584779575203,5.41191744304526,5.05540722400759,5.46413426491446,4.89634406481267,5.35127378048307,5.71383385033903,5.21536984470623,5.11220212826375,5.65701637270647,5.53749773661453,5.54850877954859,5.39834586958078,5.20482943867651,5.06296418081739,4.64172346124054,6.62285889509385,5.69806634784363,4.84757819978151,4.40336834753695,4.26378367010994,4.70573465280734,4.81594407902103,4.22157883637719,5.26026249801045,4.8798036536733,4.90737123557258,4.36009013323737,5.49502407133342,5.89975316052304,6.41339923525753,6.65344371369104,6.46635749943375,6.18797467024529,5.4456938674187,5.65293910351388,6.11225525739717,6.13013598542052,6.51667527792004,5.66470556980402,5.30110268865269,5.91900185716468,4.85685526772573,5.36486640328394,6.04446763857244,6.26263286446603,5.46464685757444,6.53528904601414,5.85048157368426,7.46683304135637,5.90731516995134,7.15172672719096,5.9043850829035,5.507013010872,5.85307601579929,5.51887104995342,5.25603357497499,5.75558743281391,5.63142794439217,5.45111675687569,5.62477850799751,5.59689633926769,5.83851691876565,5.37470456559691,5.08194897952101,5.20499177066929,5.92140525464229,5.60616154599139,6.25344475617396,5.49446790670209,6.63649322631798,6.88824805099743,6.69167627677659,6.7103460608621
EPB41L4A-AS1,4.36238921204548,4.52294561717437,4.42424611406334,4.28393376656849,4.62553699256667,3.69622520556611,5.38957713030537,4.91453908475536,4.400105914058,4.58072594687055,4.74496012339543,4.19385510217241,4.43806048607424,4.33828937810124,4.03785916833861,4.44746958391792,4.90359997453485,4.57336608749381,3.40390381936929,4.64758617662673,6.00836875895586,5.20742075760559,5.87426292531667,5.79606752248953,5.6948032220505,5.61044489713052,5.22907458484648,6.09130052556657,5.35412265152433,5.6662531001652,4.82920259145926,3.2524532899658,3.63115158873455,3.35197587798937,3.27701401489756,3.7743020844633,4.17689180453126,4.00959058322506,3.86309228156833,3.48513609893418,3.8657084410025,1.57954716112657,3.42760274389628,3.29609641806025,3.87703811010251,4.83330608519231,3.97078249145042,2.82368895943175,4.89076203839014,3.57407394011489,2.92741458972059,1.57954716112657,4.22628469876593,3.47778805423487,3.98910953854742,3.16168468642255,4.20862932268186,4.362380550928,4.08516683061961,4.74733988791639,4.08014271202759,5.09578355148475,4.6605271579222,3.81586897443718,4.24409190826239,3.72711060227444,4.29278388405215,4.34587030568632,4.81416243958611,4.25258497334914,3.05222161632773,4.76401874135884,3.8155105599974,3.0105987018223,4.03430840452202,3.48623578072221
TRBC2,5.43747479670484,4.97708217541319,5.06271678388972,5.1257029743969,5.00829753666472,5.50922400740145,5.52219176063198,4.81525024424988,5.28154220016615,4.81244063514584,5.19086567594748,5.21791009142889,5.12411158126069,5.72645609543193,6.02060304027495,5.15048326605366,4.84622549391248,4.57336608749381,6.71314867693225,4.96560251164813,5.20195598370872,4.26936076830273,5.24904680789862,4.34930083124272,4.50518648126293,4.82727738866513,4.9892186058385,4.34604611824909,5.14822063925135,4.09738502604377,5.15924906218507,6.19378119196411,6.28712279860916,6.68165802271137,6.65095162597143,6.31475698168676,6.12758085926313,5.77562570067501,6.1594631699008,6.810121006406,6.33078672340404,6.58100496504502,5.24850348963805,5.86102598446221,5.6052861327745,4.94932991805786,5.76115841503633,6.32786055952815,5.41116750399989,7.05391125202382,6.81320897438479,6.6672880925339,6.16867135899311,6.86967807260222,4.99362152951728,5.56889295806992,5.53023431977315,5.59589301967544,5.72637265551983,5.64835976134098,5.56920888477032,4.62066419273583,6.19540168222249,5.52997787979572,5.09527649655292,5.89286220173677,5.00431894149963,5.00799196917703,5.35304620146805,4.87727992657418,6.56959191327012,5.38511496150069,6.78277494011071,6.96923002291674,6.26780125452713,6.53377702064151
CD52,5.07109781087707,4.89133119805556,5.12817659593098,6.11496274026533,5.38483687990936,5.29407219735663,5.43516297005477,5.37458901683535,5.75066782542232,5.25856047788881,5.37038854971452,6.12738382624003,6.05422855279153,5.92900023858026,6.45329794042437,5.57804197553666,5.11234107345726,4.57336608749381,7.96769656570783,4.99125572283256,4.37307847307527,4.04006586697118,4.53627458270881,4.46076947755142,4.47319003820496,4.01711860250189,4.60556309180497,3.97487631999397,4.53379065088101,4.63083651046883,5.15924906218507,8.12833062966239,7.33962485604359,7.5179275614984,7.78865799680507,7.0034821289492,6.36702992195101,6.20006542294508,7.21902237240719,8.00388567708036,7.17104855380267,7.30989454442055,5.81589898733996,6.98130860609133,6.56153723313588,5.18799613968428,6.78238139613451,7.79594580299412,5.51619745470586,7.70095027421214,7.49012470117813,8.32440372027569,7.25385436868545,7.86463804376506,5.86164007945352,7.25538585591527,6.41425249409507,5.86823775931235,5.74061844237498,5.94862784449608,5.47049417102943,4.18134989130542,5.44959010606871,6.04279858472818,6.09421834053699,6.47966863864062,4.74206620020479,3.79714814451392,5.19508292187037,5.46513131931816,7.56392091508778,4.76401874135884,8.02538291578629,8.04616395893605,7.4747992305934,7.58141040801025
MIR4519,1.57954716112657,2.22068540241632,2.59395631960244,2.86605798552475,2.76096378572017,2.92433697634276,2.52805875764377,3.03481684415835,3.0498581675294,3.04653767417646,3.45079438129432,2.56977571014087,2.80811200709081,2.22702932224063,2.91473459903383,2.90571631597527,3.06620433487219,3.05606949999996,2.36521844634193,2.78789574189435,2.94661693449757,3.1064056397248,1.57954716112657,3.01465767981372,3.05833992888443,2.83069328515247,3.0246851443121,2.79305605649421,2.53234503886273,2.63309072257353,2.41662643881997,1.57954716112657,1.57954716112657,1.57954716112657,2.68861412435129,2.51463613653479,1.57954716112657,1.57954716112657,2.51892644821791,1.57954716112657,2.37059956399827,1.57954716112657,1.57954716112657,2.31442879130269,2.37519823967096,3.00247792884146,1.57954716112657,2.47248216306262,2.6126857575403,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.68302095612324,2.65645830136028,1.57954716112657,2.56314522578104,1.57954716112657,2.42160961008333,1.57954716112657,1.57954716112657,1.57954716112657,3.20526973454587,1.57954716112657,2.60716600351013,2.72493208133169,1.57954716112657,2.59963225764853,1.57954716112657,1.57954716112657,2.33945723740121,2.14670649037518,2.23316041949112,2.13936396547665,3.03033195554683,2.22202226586994
RP11-466F5.6,2.43163990195842,2.22068540241632,1.57954716112657,2.5038031419381,2.42626828873288,2.54702820778177,2.52805875764377,1.57954716112657,1.57954716112657,2.08726081816438,2.38756541397089,2.0818960638469,1.57954716112657,1.57954716112657,2.26476371954352,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.56359779638843,1.57954716112657,2.3941227225945,2.83434218089745,2.8439365949229,2.83069328515247,2.32440582952115,2.13494947327236,2.53234503886273,2.85662581838019,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.31230137115612,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.85790285166859,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.31369529962857,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657
FYB,3.54229966985905,2.97049916072999,3.63739823424258,3.83130709672033,4.00122034597401,3.61150142904829,4.01228351843814,3.16168468642255,3.6686229790516,3.04653767417646,3.8073668556552,4.13323621250244,4.21241082511478,3.10660143732955,3.76157307014496,3.58548284993998,3.60561459906307,3.05606949999996,5.2988617999701,3.88935191169402,2.28198457563194,2.36921322303053,1.57954716112657,2.83434218089745,2.95650873332952,3.09036532646251,3.31740903963433,3.32465099886996,4.02155976889431,3.19661807622443,2.992662858447,5.38130188940082,5.24198033235264,5.05459161103782,4.70262124070003,4.67249399953414,4.17689180453126,4.00959058322506,4.31962969115638,5.1626069565809,4.52954991433103,6.28067547639608,4.73823863293213,4.30665731823362,3.67069012340208,3.71993558890374,4.44007577578449,4.81337159863271,2.6126857575403,5.5714929740039,5.1929378624677,4.70892422382621,5.41872289506474,5.62608829622664,3.37107184483777,4.2787512307042,4.31969945941524,4.68164252092896,4.21644617632859,3.70098262727893,3.65100225097728,3.89435837779146,3.78204897496768,4.3815136090527,4.04504501941952,3.16175133397075,3.0769907393091,2.81681285217187,3.92812383129249,4.16202461416043,5.53967168843506,3.83187952103022,4.99577628666855,4.87625318699167,4.99931154080529,5.06304287126622
PFN1,3.91102359399742,3.63936823466801,4.42424611406334,3.52983769419277,3.53121670143304,5.13019109912748,2.89878890758217,4.06082423276241,4.25081657623905,3.67322379689556,4.16918895470911,4.98572411307961,3.27135856328573,5.30087448451105,5.02214568411661,4.14236137479172,3.86838789532545,2.80156996844973,6.5265270193977,4.23542298520241,3.72819108129452,4.7911366372101,3.31815182871046,4.19597989522797,3.53179362080655,3.30095718097426,3.65529008046219,3.93149284343606,3.17711328073874,3.33486524025678,4.16148901544326,5.89975316052304,5.80100485797835,5.00402621285297,5.59866026963976,5.06112522307194,5.4456938674187,5.54661487940067,5.08465910899368,5.90665306237276,6.34722814828235,5.66470556980402,4.48651714182324,5.91900185716468,4.8091411948889,5.05656168859971,5.83739835312927,5.40624971289402,4.31637782374974,5.92978658114052,5.91911643054182,7.85567961311847,6.47805444755846,6.62316230586397,4.28330487528166,5.68516403802346,5.53023431977315,5.35113916674047,4.84347409370289,4.08951343586629,4.25231261784292,4.18134989130542,3.4285170464061,3.92816363650509,4.57229591526847,3.93723975119961,3.99793555434259,4.09910087702481,4.29029592070074,3.84718245867674,5.14669937598351,4.42421760244022,6.30149192203396,5.41547817303062,5.99745134428906,5.06304287126622
