cluster_sample_id,cluster_id,sample_id,cell_count,Group
T-reg_H-1,T-reg,H-1,31,H
T-reg_H-10,T-reg,H-10,54,H
T-reg_H-11,T-reg,H-11,58,H
T-reg_H-13,T-reg,H-13,25,H
T-reg_H-16,T-reg,H-16,31,H
T-reg_H-18,T-reg,H-18,40,H
T-reg_H-23,T-reg,H-23,24,H
T-reg_H-25,T-reg,H-25,35,H
T-reg_H-26,T-reg,H-26,45,H
T-reg_H-27,T-reg,H-27,76,H
T-reg_H-33,T-reg,H-33,33,H
T-reg_H-36,T-reg,H-36,73,H
T-reg_H-37,T-reg,H-37,43,H
T-reg_H-4,T-reg,H-4,41,H
T-reg_H-40,T-reg,H-40,48,H
T-reg_H-43,T-reg,H-43,30,H
T-reg_H-45,T-reg,H-45,33,H
T-reg_H-49,T-reg,H-49,28,H
T-reg_H-55,T-reg,H-55,30,H
T-reg_H-56,T-reg,H-56,52,H
T-reg_H-57,T-reg,H-57,41,H
T-reg_H-59,T-reg,H-59,28,H
T-reg_H-61,T-reg,H-61,33,H
T-reg_H-62,T-reg,H-62,65,H
T-reg_H-63,T-reg,H-63,62,H
T-reg_H-64,T-reg,H-64,21,H
T-reg_H-65,T-reg,H-65,49,H
T-reg_H-66,T-reg,H-66,69,H
T-reg_H-68,T-reg,H-68,22,H
T-reg_H-69,T-reg,H-69,37,H
T-reg_H-7,T-reg,H-7,33,H
T-reg_T1D-1,T-reg,T1D-1,8,T1D
T-reg_T1D-102,T-reg,T1D-102,32,T1D
T-reg_T1D-104,T-reg,T1D-104,76,T1D
T-reg_T1D-106,T-reg,T1D-106,32,T1D
T-reg_T1D-118,T-reg,T1D-118,109,T1D
T-reg_T1D-12,T-reg,T1D-12,29,T1D
T-reg_T1D-121,T-reg,T1D-121,30,T1D
T-reg_T1D-124,T-reg,T1D-124,69,T1D
T-reg_T1D-127,T-reg,T1D-127,19,T1D
T-reg_T1D-129,T-reg,T1D-129,22,T1D
T-reg_T1D-132,T-reg,T1D-132,6,T1D
T-reg_T1D-135,T-reg,T1D-135,21,T1D
T-reg_T1D-137,T-reg,T1D-137,30,T1D
T-reg_T1D-139,T-reg,T1D-139,32,T1D
T-reg_T1D-14,T-reg,T1D-14,33,T1D
T-reg_T1D-140,T-reg,T1D-140,16,T1D
T-reg_T1D-141,T-reg,T1D-141,25,T1D
T-reg_T1D-15,T-reg,T1D-15,20,T1D
T-reg_T1D-153,T-reg,T1D-153,22,T1D
T-reg_T1D-156,T-reg,T1D-156,26,T1D
T-reg_T1D-158,T-reg,T1D-158,3,T1D
T-reg_T1D-170,T-reg,T1D-170,19,T1D
T-reg_T1D-174,T-reg,T1D-174,51,T1D
T-reg_T1D-2,T-reg,T1D-2,18,T1D
T-reg_T1D-21,T-reg,T1D-21,19,T1D
T-reg_T1D-25,T-reg,T1D-25,20,T1D
T-reg_T1D-28,T-reg,T1D-28,13,T1D
T-reg_T1D-29,T-reg,T1D-29,51,T1D
T-reg_T1D-37,T-reg,T1D-37,12,T1D
T-reg_T1D-39,T-reg,T1D-39,25,T1D
T-reg_T1D-42,T-reg,T1D-42,8,T1D
T-reg_T1D-44,T-reg,T1D-44,26,T1D
T-reg_T1D-52,T-reg,T1D-52,32,T1D
T-reg_T1D-61,T-reg,T1D-61,34,T1D
T-reg_T1D-73,T-reg,T1D-73,21,T1D
T-reg_T1D-79,T-reg,T1D-79,21,T1D
T-reg_T1D-8,T-reg,T1D-8,43,T1D
T-reg_T1D-82,T-reg,T1D-82,18,T1D
T-reg_T1D-86,T-reg,T1D-86,22,T1D
T-reg_T1D-87,T-reg,T1D-87,37,T1D
T-reg_T1D-88,T-reg,T1D-88,62,T1D
T-reg_T1D-93,T-reg,T1D-93,43,T1D
T-reg_T1D-96,T-reg,T1D-96,45,T1D
T-reg_T1D-97,T-reg,T1D-97,21,T1D
T-reg_T1D-98,T-reg,T1D-98,42,T1D
