,Accuracy,Specificity,Sensitivity
0,0.9333333333333333,1.0,0.9
1,0.8666666666666667,0.8571428571428571,0.875
2,0.7333333333333333,0.875,0.5714285714285714
3,0.8666666666666667,0.8333333333333334,0.8888888888888888
4,1.0,1.0,1.0
5,0.8666666666666667,1.0,0.75
6,0.9333333333333333,1.0,0.8571428571428571
7,0.6666666666666666,0.5,0.6923076923076923
8,0.8666666666666667,1.0,0.7142857142857143
9,0.9333333333333333,1.0,0.9
10,0.8666666666666667,1.0,0.7777777777777778
11,0.8666666666666667,1.0,0.8333333333333334
12,0.8666666666666667,1.0,0.7777777777777778
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,0.8666666666666667,1.0,0.8
16,0.9333333333333333,1.0,0.8571428571428571
17,0.9333333333333333,0.8333333333333334,1.0
18,0.8666666666666667,1.0,0.8333333333333334
19,0.8666666666666667,0.75,0.9090909090909091
20,0.8666666666666667,1.0,0.8333333333333334
21,0.8666666666666667,0.8333333333333334,0.8888888888888888
22,0.9333333333333333,1.0,0.8888888888888888
23,0.8666666666666667,0.8333333333333334,0.8888888888888888
24,0.7333333333333333,0.6666666666666666,0.8333333333333334
25,0.9333333333333333,0.8888888888888888,1.0
26,0.9333333333333333,0.8333333333333334,1.0
27,0.9333333333333333,1.0,0.9090909090909091
28,0.9333333333333333,1.0,0.8888888888888888
29,0.8,0.7142857142857143,0.875
30,0.9333333333333333,1.0,0.9090909090909091
31,0.9333333333333333,1.0,0.9166666666666666
32,1.0,1.0,1.0
33,0.9333333333333333,1.0,0.9
34,0.8666666666666667,1.0,0.8181818181818182
35,0.9333333333333333,1.0,0.8
36,0.9333333333333333,0.8888888888888888,1.0
37,0.9333333333333333,0.8,1.0
38,0.6,0.625,0.5714285714285714
39,0.7333333333333333,1.0,0.6363636363636364
40,0.9333333333333333,0.8571428571428571,1.0
41,0.9333333333333333,1.0,0.9166666666666666
42,0.9333333333333333,1.0,0.875
43,0.8666666666666667,1.0,0.8181818181818182
44,0.8666666666666667,0.6666666666666666,1.0
45,0.9333333333333333,1.0,0.9166666666666666
46,0.9333333333333333,1.0,0.9166666666666666
47,0.8,0.6,0.9
48,0.8,0.875,0.7142857142857143
49,0.8,0.8,0.8
50,0.8,0.7142857142857143,0.875
51,0.9333333333333333,0.8888888888888888,1.0
52,0.8666666666666667,0.75,0.9090909090909091
53,0.9333333333333333,1.0,0.875
54,0.9333333333333333,1.0,0.9
55,0.8666666666666667,0.75,0.9090909090909091
56,0.8666666666666667,0.8333333333333334,0.8888888888888888
57,0.8,1.0,0.7
58,0.8666666666666667,0.8333333333333334,0.8888888888888888
59,0.8,0.8571428571428571,0.75
60,0.8666666666666667,1.0,0.8
61,0.8666666666666667,0.8333333333333334,0.8888888888888888
62,0.8,0.8571428571428571,0.75
63,0.9333333333333333,1.0,0.8888888888888888
64,0.9333333333333333,1.0,0.9
65,0.9333333333333333,1.0,0.9
66,0.9333333333333333,1.0,0.9
67,0.8,0.8571428571428571,0.75
68,0.8,0.8181818181818182,0.75
69,1.0,1.0,1.0
70,0.8666666666666667,1.0,0.7142857142857143
71,0.9333333333333333,0.875,1.0
72,0.8,0.7777777777777778,0.8333333333333334
73,0.9333333333333333,1.0,0.9
74,1.0,1.0,1.0
75,0.9333333333333333,0.875,1.0
76,0.8666666666666667,0.8333333333333334,0.8888888888888888
77,0.8666666666666667,0.8333333333333334,0.8888888888888888
78,0.8,0.6,0.9
79,1.0,1.0,1.0
80,0.8666666666666667,0.8888888888888888,0.8333333333333334
81,0.8,0.7777777777777778,0.8333333333333334
82,0.9333333333333333,1.0,0.8571428571428571
83,1.0,1.0,1.0
84,0.8,0.8,0.8
85,0.9333333333333333,0.8333333333333334,1.0
86,0.8666666666666667,1.0,0.7777777777777778
87,0.8666666666666667,0.8,0.9
88,1.0,1.0,1.0
89,0.8666666666666667,0.8333333333333334,0.8888888888888888
90,0.8666666666666667,1.0,0.8
91,0.8,0.75,0.8571428571428571
92,0.9333333333333333,0.8333333333333334,1.0
93,0.9333333333333333,1.0,0.9
94,0.9333333333333333,1.0,0.9
95,0.7333333333333333,0.7142857142857143,0.75
96,0.8666666666666667,0.8571428571428571,0.875
97,0.8666666666666667,1.0,0.75
98,0.8666666666666667,0.8,0.9
99,0.9333333333333333,1.0,0.8888888888888888
100,0.8666666666666667,1.0,0.7777777777777778
101,0.8666666666666667,0.8571428571428571,0.875
102,0.8,0.8333333333333334,0.7777777777777778
103,1.0,1.0,1.0
104,0.9333333333333333,1.0,0.875
105,0.9333333333333333,0.75,1.0
106,0.8666666666666667,1.0,0.7777777777777778
107,1.0,1.0,1.0
108,0.9333333333333333,0.75,1.0
109,0.8666666666666667,1.0,0.8333333333333334
110,0.9333333333333333,1.0,0.8571428571428571
111,0.8666666666666667,0.8333333333333334,0.8888888888888888
112,0.9333333333333333,0.875,1.0
113,0.8666666666666667,0.8888888888888888,0.8333333333333334
114,0.9333333333333333,0.875,1.0
115,0.8666666666666667,1.0,0.8
116,0.8,1.0,0.625
117,0.9333333333333333,0.875,1.0
118,0.8666666666666667,0.8333333333333334,0.8888888888888888
119,0.8666666666666667,0.8571428571428571,0.875
120,0.8,0.7,1.0
121,0.8,0.6,0.9
122,1.0,1.0,1.0
123,0.8666666666666667,0.75,0.9090909090909091
124,0.8666666666666667,1.0,0.75
125,0.8666666666666667,0.8,0.9
126,0.8666666666666667,0.6666666666666666,1.0
127,0.8666666666666667,0.8888888888888888,0.8333333333333334
128,0.8666666666666667,0.875,0.8571428571428571
129,0.9333333333333333,1.0,0.9090909090909091
130,0.9333333333333333,1.0,0.875
131,0.8,0.8,0.8
132,0.9333333333333333,1.0,0.9090909090909091
133,0.9333333333333333,1.0,0.8571428571428571
134,1.0,1.0,1.0
135,0.9333333333333333,1.0,0.9090909090909091
136,0.9333333333333333,1.0,0.8888888888888888
137,0.8666666666666667,1.0,0.7142857142857143
138,0.7333333333333333,0.6666666666666666,0.7777777777777778
139,0.8,0.5714285714285714,1.0
140,0.9333333333333333,0.8333333333333334,1.0
141,0.8666666666666667,0.8888888888888888,0.8333333333333334
142,0.9333333333333333,1.0,0.8333333333333334
143,0.8666666666666667,1.0,0.8181818181818182
144,0.8,0.7777777777777778,0.8333333333333334
145,0.8666666666666667,1.0,0.8181818181818182
146,0.8666666666666667,0.6666666666666666,0.9166666666666666
147,0.8666666666666667,0.8,0.9
148,0.8,1.0,0.75
149,0.8,0.8,0.8
150,0.9333333333333333,1.0,0.8888888888888888
151,0.8666666666666667,0.8571428571428571,0.875
152,0.8666666666666667,1.0,0.6666666666666666
153,0.8,1.0,0.5714285714285714
154,0.9333333333333333,0.8888888888888888,1.0
155,0.8,0.8,0.8
156,1.0,1.0,1.0
157,0.9333333333333333,0.875,1.0
158,0.8666666666666667,0.8,1.0
159,0.9333333333333333,0.8,1.0
160,0.9333333333333333,0.8333333333333334,1.0
