,Accuracy,Specificity,Sensitivity
0,0.6,0.6,0.6
1,0.7333333333333333,0.7142857142857143,0.75
2,0.8,1.0,0.7272727272727273
3,0.8666666666666667,0.7777777777777778,1.0
4,0.8,0.8333333333333334,0.7777777777777778
5,0.9333333333333333,1.0,0.8888888888888888
6,0.7333333333333333,0.8333333333333334,0.6666666666666666
7,0.8,0.6666666666666666,0.8333333333333334
8,0.8666666666666667,0.8571428571428571,0.875
9,0.8666666666666667,0.8,0.9
10,0.8,0.6666666666666666,0.8888888888888888
11,0.8,0.6666666666666666,0.8888888888888888
12,0.8,1.0,0.7
13,0.7333333333333333,0.75,0.7142857142857143
14,0.8666666666666667,1.0,0.8
15,1.0,1.0,1.0
16,0.8666666666666667,1.0,0.8
17,0.8666666666666667,0.875,0.8571428571428571
18,0.6,0.75,0.42857142857142855
19,0.7333333333333333,0.8333333333333334,0.6666666666666666
20,0.7333333333333333,0.75,0.7272727272727273
21,0.7333333333333333,0.8333333333333334,0.6666666666666666
22,0.8666666666666667,0.8571428571428571,0.875
23,0.8,0.75,0.8571428571428571
24,0.8666666666666667,1.0,0.8181818181818182
25,0.8666666666666667,0.8571428571428571,0.875
26,0.8666666666666667,1.0,0.8
27,0.8666666666666667,1.0,0.75
28,0.8,0.8,0.8
29,0.6,1.0,0.45454545454545453
30,0.8666666666666667,1.0,0.8
31,0.6666666666666666,1.0,0.375
32,0.8666666666666667,1.0,0.8
33,0.8,1.0,0.7272727272727273
34,0.8,1.0,0.625
35,0.8666666666666667,1.0,0.7142857142857143
36,0.9333333333333333,1.0,0.8888888888888888
37,0.7333333333333333,1.0,0.5555555555555556
38,0.8666666666666667,0.875,0.8571428571428571
39,0.8666666666666667,0.8333333333333334,0.8888888888888888
40,0.9333333333333333,1.0,0.8888888888888888
41,0.9333333333333333,1.0,0.875
42,0.8,0.75,0.8181818181818182
43,0.8666666666666667,1.0,0.75
44,0.8,1.0,0.6666666666666666
45,0.8,0.7142857142857143,0.875
46,0.8666666666666667,1.0,0.8333333333333334
47,0.9333333333333333,0.875,1.0
48,0.8666666666666667,0.875,0.8571428571428571
49,0.7333333333333333,1.0,0.6
50,0.7333333333333333,0.8571428571428571,0.625
51,0.9333333333333333,1.0,0.8888888888888888
52,0.8666666666666667,0.8333333333333334,0.8888888888888888
53,0.6666666666666666,1.0,0.5
54,0.8,1.0,0.6666666666666666
55,0.8,1.0,0.75
56,1.0,1.0,1.0
57,0.6666666666666666,1.0,0.4444444444444444
58,0.6,0.5,0.6666666666666666
59,0.8,0.6666666666666666,0.8888888888888888
60,0.6666666666666666,0.75,0.6363636363636364
61,0.8,0.8571428571428571,0.75
62,0.7333333333333333,0.8333333333333334,0.6666666666666666
63,0.6,0.5,0.6153846153846154
64,0.9333333333333333,1.0,0.875
65,0.9333333333333333,0.875,1.0
66,0.7333333333333333,0.5,1.0
67,0.6666666666666666,0.7142857142857143,0.625
68,0.7333333333333333,1.0,0.6
69,0.8666666666666667,1.0,0.7777777777777778
70,0.8666666666666667,1.0,0.8181818181818182
71,1.0,1.0,1.0
72,0.8666666666666667,0.8571428571428571,0.875
73,0.7333333333333333,0.7142857142857143,0.75
74,0.7333333333333333,1.0,0.6
75,0.9333333333333333,1.0,0.9
76,0.7333333333333333,0.625,0.8571428571428571
77,0.6,0.8,0.5
78,0.7333333333333333,0.8,0.7
79,0.7333333333333333,1.0,0.6363636363636364
80,0.8,0.8571428571428571,0.75
81,0.8666666666666667,1.0,0.8
82,0.8,1.0,0.6666666666666666
83,0.8666666666666667,0.8333333333333334,0.8888888888888888
84,0.8,1.0,0.7
85,0.7333333333333333,0.8,0.7
86,0.8,0.6666666666666666,0.8888888888888888
87,0.5333333333333333,0.4,0.6
88,0.8666666666666667,1.0,0.7777777777777778
89,1.0,1.0,1.0
90,0.6666666666666666,1.0,0.5833333333333334
91,1.0,1.0,1.0
92,0.8,1.0,0.75
93,0.8666666666666667,1.0,0.8
94,0.7333333333333333,0.8,0.7
95,0.8666666666666667,0.8,0.9
96,0.8,0.7142857142857143,0.875
97,0.8666666666666667,1.0,0.8
98,0.6666666666666666,0.8,0.6
99,0.7333333333333333,0.8,0.7
100,0.8,0.5,0.9090909090909091
101,0.9333333333333333,1.0,0.9090909090909091
102,0.8,1.0,0.7692307692307693
103,0.5333333333333333,0.5,0.5555555555555556
104,0.8666666666666667,1.0,0.7777777777777778
105,0.8,0.6666666666666666,0.8888888888888888
106,0.8666666666666667,0.875,0.8571428571428571
107,0.8,0.875,0.7142857142857143
108,0.8,0.7142857142857143,0.875
109,0.8,1.0,0.7272727272727273
110,0.9333333333333333,1.0,0.9
111,0.8,1.0,0.625
112,0.8666666666666667,1.0,0.8
113,0.7333333333333333,1.0,0.6363636363636364
114,0.6,1.0,0.5
115,0.9333333333333333,0.8571428571428571,1.0
116,0.8,0.5,1.0
117,0.8,0.8571428571428571,0.75
118,0.8666666666666667,0.8333333333333334,0.8888888888888888
119,0.8,0.8333333333333334,0.7777777777777778
120,0.8,1.0,0.7857142857142857
121,0.9333333333333333,1.0,0.9
122,0.6666666666666666,1.0,0.5454545454545454
123,0.7333333333333333,1.0,0.5555555555555556
124,0.7333333333333333,0.8333333333333334,0.6666666666666666
125,0.8666666666666667,1.0,0.8333333333333334
126,0.8666666666666667,0.75,0.9090909090909091
127,0.8,0.6666666666666666,0.8333333333333334
128,0.7333333333333333,0.8,0.7
129,0.9333333333333333,1.0,0.8571428571428571
130,0.7333333333333333,0.8,0.7
131,0.8666666666666667,0.75,0.9090909090909091
132,0.6666666666666666,0.6666666666666666,0.6666666666666666
133,0.8666666666666667,1.0,0.8461538461538461
134,0.9333333333333333,1.0,0.9090909090909091
135,0.8666666666666667,0.8,0.9
136,0.8,0.6666666666666666,0.8333333333333334
137,0.7333333333333333,0.8571428571428571,0.625
138,0.8,1.0,0.6666666666666666
139,0.6666666666666666,1.0,0.5
140,0.7333333333333333,0.8333333333333334,0.6666666666666666
141,0.8666666666666667,1.0,0.8
142,0.7333333333333333,0.6666666666666666,0.7777777777777778
143,1.0,1.0,1.0
144,0.8,0.8571428571428571,0.75
145,0.9333333333333333,0.8888888888888888,1.0
146,0.8666666666666667,0.9,0.8
147,0.9333333333333333,1.0,0.9090909090909091
148,0.7333333333333333,1.0,0.6666666666666666
149,0.8,0.5714285714285714,1.0
150,0.8666666666666667,0.8888888888888888,0.8333333333333334
151,0.9333333333333333,1.0,0.9090909090909091
152,0.8,0.8333333333333334,0.7777777777777778
153,0.8666666666666667,0.8571428571428571,0.875
154,0.7333333333333333,1.0,0.5
155,0.6666666666666666,0.8,0.6
156,0.7333333333333333,1.0,0.6363636363636364
157,0.8,1.0,0.7
158,0.8,0.8333333333333334,0.7777777777777778
159,0.9333333333333333,1.0,0.875
160,0.8666666666666667,1.0,0.8333333333333334
161,0.8666666666666667,1.0,0.7777777777777778
162,0.8666666666666667,1.0,0.8181818181818182
163,0.6,0.6,0.6
164,0.9333333333333333,1.0,0.9
165,0.8,1.0,0.7
166,0.7333333333333333,1.0,0.6666666666666666
167,0.7333333333333333,0.75,0.7142857142857143
168,0.9333333333333333,1.0,0.875
169,0.7333333333333333,0.75,0.7142857142857143
170,0.8,0.7142857142857143,0.875
171,0.6,1.0,0.45454545454545453
172,0.9333333333333333,0.8571428571428571,1.0
173,0.9333333333333333,1.0,0.875
174,0.8,1.0,0.7
175,0.8,0.75,0.8181818181818182
176,0.8666666666666667,0.8333333333333334,0.8888888888888888
177,0.9333333333333333,1.0,0.8888888888888888
178,0.8666666666666667,0.8333333333333334,0.8888888888888888
179,0.8,0.8,0.8
180,0.8666666666666667,1.0,0.8181818181818182
181,0.8666666666666667,0.7777777777777778,1.0
182,0.8,1.0,0.7
183,0.6666666666666666,0.5,0.7777777777777778
184,0.8666666666666667,1.0,0.8181818181818182
185,0.8666666666666667,1.0,0.8181818181818182
186,0.8666666666666667,1.0,0.8
