,Accuracy,Specificity,Sensitivity
0,0.8666666666666667,0.8571428571428571,0.875
1,0.9333333333333333,0.8333333333333334,1.0
2,0.8666666666666667,1.0,0.8
3,0.8,0.7142857142857143,0.875
4,0.8666666666666667,1.0,0.8
5,0.7333333333333333,0.5714285714285714,0.875
6,0.7333333333333333,0.5714285714285714,0.875
7,0.7333333333333333,0.875,0.5714285714285714
8,0.6,0.5,0.7142857142857143
9,0.8666666666666667,1.0,0.8181818181818182
10,0.7333333333333333,0.6666666666666666,0.75
11,0.8666666666666667,0.6666666666666666,1.0
12,0.8666666666666667,0.8571428571428571,0.875
13,0.9333333333333333,1.0,0.875
14,0.8666666666666667,0.75,0.9090909090909091
15,0.8,0.8,0.8
16,0.9333333333333333,1.0,0.8888888888888888
17,0.8,1.0,0.7272727272727273
18,0.6,0.6666666666666666,0.5555555555555556
19,0.9333333333333333,0.8888888888888888,1.0
20,1.0,1.0,1.0
21,0.9333333333333333,1.0,0.9
22,0.7333333333333333,0.7142857142857143,0.75
23,0.8666666666666667,1.0,0.8333333333333334
24,0.7333333333333333,1.0,0.6666666666666666
25,0.9333333333333333,0.875,1.0
26,0.7333333333333333,0.875,0.5714285714285714
27,0.7333333333333333,0.8333333333333334,0.6666666666666666
28,0.8666666666666667,1.0,0.7777777777777778
29,0.7333333333333333,0.5,1.0
30,0.6666666666666666,0.3333333333333333,0.8888888888888888
31,1.0,1.0,1.0
32,0.8666666666666667,0.8333333333333334,0.8888888888888888
33,0.8666666666666667,0.8333333333333334,0.8888888888888888
34,0.8666666666666667,1.0,0.7777777777777778
35,0.9333333333333333,0.8333333333333334,1.0
36,0.9333333333333333,1.0,0.9
37,0.8666666666666667,0.7142857142857143,1.0
38,0.8666666666666667,0.8571428571428571,0.875
39,0.8666666666666667,1.0,0.75
40,0.7333333333333333,1.0,0.6666666666666666
41,0.8666666666666667,0.8,0.9
42,0.8,1.0,0.7692307692307693
43,0.9333333333333333,1.0,0.8571428571428571
44,0.8,0.75,0.8181818181818182
