,Accuracy,Specificity,Sensitivity
0,0.6666666666666666,0.6,0.7142857142857143
1,0.5833333333333334,0.4,0.7142857142857143
2,0.6666666666666666,0.6,0.7142857142857143
3,0.5,0.4,0.5714285714285714
4,0.75,0.6,0.8571428571428571
5,0.5833333333333334,0.4,0.7142857142857143
6,0.8333333333333334,0.8,0.8571428571428571
7,0.6666666666666666,0.6,0.7142857142857143
8,0.75,0.8,0.7142857142857143
9,0.5833333333333334,0.4,0.7142857142857143
10,0.75,0.6,0.8571428571428571
11,0.8333333333333334,0.6,1.0
12,0.6666666666666666,0.8,0.5714285714285714
13,0.5833333333333334,0.2,0.8571428571428571
14,0.75,0.6,0.8571428571428571
15,0.5,0.2,0.7142857142857143
16,0.6666666666666666,0.6,0.7142857142857143
17,0.8333333333333334,1.0,0.7142857142857143
18,0.5833333333333334,0.6,0.5714285714285714
19,0.75,0.6,0.8571428571428571
20,0.8333333333333334,1.0,0.7142857142857143
21,0.8333333333333334,0.6,1.0
22,0.75,1.0,0.5714285714285714
23,0.75,0.6,0.8571428571428571
24,0.6666666666666666,0.6,0.7142857142857143
25,0.75,0.6,0.8571428571428571
26,0.75,0.8,0.7142857142857143
27,0.75,0.8,0.7142857142857143
28,0.5833333333333334,0.6,0.5714285714285714
29,0.75,0.6,0.8571428571428571
30,0.75,0.6,0.8571428571428571
31,0.6666666666666666,0.4,0.8571428571428571
32,0.6666666666666666,0.6,0.7142857142857143
33,0.6666666666666666,0.4,0.8571428571428571
34,0.75,1.0,0.5714285714285714
35,0.75,0.6,0.8571428571428571
36,0.5,0.4,0.5714285714285714
37,0.75,1.0,0.5714285714285714
38,0.9166666666666666,0.8,1.0
39,0.5833333333333334,0.6,0.5714285714285714
40,0.8333333333333334,0.6,1.0
41,0.5833333333333334,0.2,0.8571428571428571
42,0.5833333333333334,0.4,0.7142857142857143
43,0.8333333333333334,0.8,0.8571428571428571
44,0.5833333333333334,0.4,0.7142857142857143
45,0.75,0.8,0.7142857142857143
46,0.75,0.6,0.8571428571428571
47,0.6666666666666666,0.8,0.5714285714285714
48,0.5,0.8,0.2857142857142857
49,0.75,0.4,1.0
50,0.6666666666666666,0.6,0.7142857142857143
51,0.5833333333333334,0.4,0.7142857142857143
52,0.8333333333333334,1.0,0.7142857142857143
53,0.75,0.6,0.8571428571428571
54,0.5,0.6,0.42857142857142855
55,0.6666666666666666,0.4,0.8571428571428571
56,0.6666666666666666,0.8,0.5714285714285714
57,0.8333333333333334,0.8,0.8571428571428571
58,0.6666666666666666,0.4,0.8571428571428571
59,0.5,0.2,0.7142857142857143
60,0.6666666666666666,1.0,0.42857142857142855
61,0.6666666666666666,0.4,0.8571428571428571
62,0.5833333333333334,0.4,0.7142857142857143
63,0.75,0.6,0.8571428571428571
64,0.75,0.8,0.7142857142857143
65,0.6666666666666666,0.4,0.8571428571428571
66,0.9166666666666666,1.0,0.8571428571428571
67,0.75,1.0,0.5714285714285714
68,0.75,0.4,1.0
69,0.75,0.6,0.8571428571428571
70,0.8333333333333334,0.8,0.8571428571428571
71,0.75,0.6,0.8571428571428571
72,0.8333333333333334,1.0,0.7142857142857143
73,0.75,0.8,0.7142857142857143
74,0.75,0.4,1.0
75,0.8333333333333334,0.6,1.0
76,0.8333333333333334,0.8,0.8571428571428571
77,0.75,0.6,0.8571428571428571
78,0.75,0.4,1.0
79,0.5833333333333334,0.4,0.7142857142857143
80,0.6666666666666666,0.6,0.7142857142857143
81,0.75,0.6,0.8571428571428571
82,0.6666666666666666,0.6,0.7142857142857143
83,0.75,0.8,0.7142857142857143
84,0.5833333333333334,0.6,0.5714285714285714
85,0.8333333333333334,0.8,0.8571428571428571
86,0.75,0.8,0.7142857142857143
87,0.8333333333333334,0.6,1.0
88,0.9166666666666666,1.0,0.8571428571428571
89,0.8333333333333334,1.0,0.7142857142857143
90,0.75,0.6,0.8571428571428571
91,0.6666666666666666,0.8,0.5714285714285714
92,0.6666666666666666,0.6,0.7142857142857143
93,0.4166666666666667,0.2,0.5714285714285714
94,0.6666666666666666,0.2,1.0
95,0.75,0.4,1.0
96,0.75,0.8,0.7142857142857143
97,0.75,0.4,1.0
98,0.8333333333333334,0.8,0.8571428571428571
99,0.8333333333333334,0.6,1.0
100,0.75,0.6,0.8571428571428571
101,0.75,0.8,0.7142857142857143
102,0.6666666666666666,0.4,0.8571428571428571
103,0.6666666666666666,0.2,1.0
104,0.6666666666666666,0.8,0.5714285714285714
105,0.5,0.2,0.7142857142857143
106,0.5,0.2,0.7142857142857143
107,0.5,0.2,0.7142857142857143
108,0.75,0.4,1.0
109,0.6666666666666666,0.8,0.5714285714285714
110,0.75,0.4,1.0
111,0.8333333333333334,0.8,0.8571428571428571
112,0.6666666666666666,0.4,0.8571428571428571
113,0.8333333333333334,1.0,0.7142857142857143
114,0.8333333333333334,0.8,0.8571428571428571
115,0.75,0.8,0.7142857142857143
116,0.75,0.8,0.7142857142857143
117,0.5833333333333334,0.6,0.5714285714285714
118,0.6666666666666666,0.6,0.7142857142857143
119,0.5833333333333334,0.4,0.7142857142857143
120,0.75,0.8,0.7142857142857143
121,0.6666666666666666,0.6,0.7142857142857143
122,0.75,0.6,0.8571428571428571
123,0.5833333333333334,0.8,0.42857142857142855
124,0.6666666666666666,0.4,0.8571428571428571
125,0.9166666666666666,1.0,0.8571428571428571
126,0.6666666666666666,0.2,1.0
